N	2gram	Kanaev_Sov	Tragedij
1	и в	7	18
2	в этом	7	9
3	не только	4	8
4	и не	6	7
5	как бы	4	7
6	может быть	12	7
7	но в	3	6
8	у него	2	6
9	что это	2	5
10	все же	3	5
11	это не	4	5
12	то же	3	5
13	как и	6	5
14	в дальнейшем	4	5
15	не может	17	5
16	что в	2	4
17	еще не	3	4
18	в целом	4	4
19	прежде всего	5	4
20	в этой	3	4
21	и что	2	4
22	и все	3	4
23	все это	3	4
24	в нем	3	4
25	и даже	2	4
26	в себе	3	4
27	уже в	3	3
28	при этом	3	3
29	в его	2	3
30	все эти	5	3
31	отнюдь не	3	3
32	в конце	3	3
33	в самом	2	2
34	но все	2	2
35	одна из	3	2
36	вопрос о	4	2
37	в одном	3	2
38	в виде	2	2
39	ничего не	6	2
40	то и	2	2
41	состоит из	3	2
42	не могут	2	2
43	что все	2	2
44	не в	3	2
45	о жизни	2	2
46	в таком	2	2
47	в первом	3	2
48	уже не	2	2
49	что она	3	2
50	по мнению	2	2
51	отличие от	2	2
52	в том	4	2
53	в отличие	2	2
