N	2gram	Voloshinov	Morfolog
1	может быть	13	61
2	и пр	4	45
3	таким образом	8	26
4	так как	8	20
5	мы имеем	2	19
6	не может	13	19
7	в этом	10	18
8	в этих	2	17
9	представляет собой	2	17
10	и в	42	17
11	и не	14	16
12	мы видим	4	15
13	перед нами	3	14
14	с этим	2	14
15	прежде всего	22	14
16	связи с	3	12
17	видим что	2	12
18	чаще всего	3	11
19	а не	7	11
20	заметить что	3	11
21	вопрос о	2	10
22	мы увидим	5	10
23	то же	16	10
24	в том	3	10
25	не всегда	2	10
26	то что	9	10
27	так и	7	10
28	что и	3	10
29	в связи	2	10
30	этом случае	3	10
31	все же	9	9
32	но и	16	9
33	не только	28	8
34	в тех	3	8
35	но не	2	8
36	а в	5	8
37	мы не	9	8
38	в качестве	4	8
39	как мы	10	8
40	том что	3	7
41	по отношению	2	7
42	отношению к	2	7
43	как это	5	7
44	и здесь	3	7
45	точки зрения	11	7
46	один из	4	7
47	потому что	7	7
48	это не	3	6
49	но это	2	6
50	во всех	6	6
51	и как	10	6
52	или в	2	6
53	также и	2	6
54	в нашем	5	6
55	о том	4	6
56	если мы	4	6
57	с точки	5	6
58	в форме	6	6
59	как бы	30	6
60	вовсе не	2	6
61	ничего не	8	5
62	хотя бы	18	5
63	мы можем	7	5
64	было бы	7	5
65	об этом	3	5
66	то мы	3	5
67	что он	2	5
68	как в	3	5
69	тому что	5	5
70	прежде чем	2	5
71	к тому	4	5
72	из которых	3	5
73	между тем	3	5
74	в целом	4	5
75	главным образом	3	5
76	между собой	2	5
77	на его	6	5
78	все эти	3	5
79	он не	2	5
80	хотя и	3	5
81	ясно что	2	5
82	сказать что	3	4
83	на самом	3	4
84	его в	4	4
85	независимо от	5	4
86	так же	4	4
87	в то	9	4
88	можно было	4	4
89	к этому	2	4
90	на него	4	4
91	тем что	2	4
92	не является	5	4
93	еще не	3	4
94	самом деле	5	4
95	из них	3	4
96	но в	5	4
97	но все	5	4
98	и для	3	4
99	как и	12	4
100	уже не	4	4
101	этот вопрос	2	4
102	и к	4	4
103	несмотря на	3	4
104	того чтобы	7	4
105	от того	3	4
106	мы уже	11	4
107	первый взгляд	2	3
108	мы должны	10	3
109	но как	2	3
110	здесь не	2	3
111	как таковое	2	3
112	в которой	7	3
113	а на	2	3
114	вопроса о	4	3
115	что это	4	3
116	и их	5	3
117	целый ряд	3	3
118	друг друга	2	3
119	если бы	4	3
120	для наших	3	3
121	на первый	2	3
122	кроме того	2	3
123	и тем	7	3
124	та же	3	3
125	он должен	3	3
126	из двух	2	3
127	не в	6	3
128	для того	9	3
129	и при	2	3
130	у нас	4	3
131	в пределах	2	3
132	в какой	2	3
133	того что	4	3
134	здесь мы	3	3
135	как уже	2	3
136	к нему	2	3
137	что такое	4	3
138	но мы	2	3
139	с собой	2	3
140	но для	3	3
141	не существует	4	3
142	к чему	2	3
143	в начале	3	3
144	и тогда	2	3
145	и его	7	3
146	только в	7	3
147	значение и	2	3
148	что эти	3	3
149	в этой	6	3
150	мы будем	6	3
151	с его	8	3
152	и когда	2	2
153	в каком	2	2
154	себя в	4	2
155	которое может	3	2
156	как например	2	2
157	из этих	2	2
158	бы в	6	2
159	во второй	3	2
160	ответ на	3	2
161	иное как	2	2
162	не что	4	2
163	и даже	3	2
164	роль в	3	2
165	в середине	2	2
166	что именно	4	2
167	в данной	4	2
168	этом отношении	2	2
169	в частности	3	2
170	ничем не	2	2
171	наших целей	2	2
172	его и	3	2
173	ни к	2	2
174	что иное	2	2
175	не знает	3	2
176	но вот	3	2
177	а с	5	2
178	не с	3	2
179	увидим что	2	2
180	одной из	2	2
181	на этот	2	2
182	с тем	8	2
183	не так	3	2
184	и этот	2	2
185	о происхождении	2	2
186	их в	3	2
187	в своих	2	2
188	ту же	2	2
189	перейти к	2	2
190	тех случаях	2	2
191	в которых	2	2
192	не сумеем	2	2
193	как таковой	3	2
194	однако в	2	2
195	с другими	2	2
196	если он	3	2
197	для нас	3	2
198	что мы	11	2
199	чему не	2	2
200	что же	8	2
201	и больше	2	2
202	вряд ли	3	2
203	ответить на	2	2
204	все это	4	2
205	в основе	3	2
206	случаях когда	2	2
207	уже видели	3	2
208	можно сказать	4	2
209	для него	3	2
210	в одном	4	2
211	по своему	3	2
212	тем же	4	2
213	тем и	2	2
