N	2gram	Voloshinov	Marksizm
1	точки зрения	14	69
2	может быть	14	64
3	и в	12	63
4	и не	10	55
5	как бы	13	53
6	не может	16	47
7	с точки	2	46
8	и пр	3	42
9	и его	13	41
10	в этом	4	39
11	таким образом	12	38
12	в процессе	6	33
13	в пределах	3	31
14	не только	4	29
15	речи в	2	29
16	в нем	6	28
17	то же	5	28
18	но и	3	27
19	самом деле	3	25
20	прежде всего	8	24
21	как и	5	24
22	в самом	4	24
23	так и	4	23
24	только в	6	23
25	в том	6	22
26	то что	5	22
27	а не	5	22
28	при этом	6	20
29	для него	3	20
30	том что	5	19
31	не в	4	19
32	в его	2	19
33	если бы	9	19
34	но в	5	18
35	и для	3	18
36	внутренней речи	3	18
37	все же	4	17
38	в то	2	16
39	по отношению	11	16
40	социального общения	4	16
41	высказывание как	2	16
42	слова и	6	16
43	ни было	4	16
44	отношению к	11	15
45	отнюдь не	5	15
46	высказывания и	2	15
47	с помощью	6	15
48	в данном	2	14
49	хотя бы	5	14
50	ничего не	2	13
51	так же	3	13
52	мы не	3	13
53	в своей	3	13
54	и здесь	2	13
55	то ни	3	13
56	что в	2	13
57	выражение в	2	12
58	идеологического творчества	2	12
59	бы то	3	12
60	он не	2	12
61	между тем	3	12
62	на самом	4	11
63	как в	5	11
64	и все	2	11
65	к нему	4	11
66	и на	4	11
67	в ней	6	11
68	сих пор	3	11
69	все эти	3	11
70	на материале	2	11
71	так как	9	11
72	еще не	3	11
73	и что	2	11
74	до сих	3	11
75	никогда не	5	10
76	его в	4	10
77	и потому	2	10
78	в основном	2	10
79	высказывания как	4	10
80	более того	2	10
81	с его	2	10
82	сказать что	7	10
83	к этому	2	10
84	в своем	2	10
85	с другой	4	10
86	конечно не	3	10
87	и следовательно	5	9
88	в себе	3	9
89	общения и	2	9
90	это не	2	9
91	только на	3	9
92	в нашем	11	9
93	как если	4	9
94	отношении к	3	9
95	и более	3	9
96	ни в	3	9
97	точка зрения	3	9
98	же самое	2	9
99	быть и	3	9
100	в каком	3	8
101	в отношении	2	8
102	и ее	3	8
103	в форме	2	8
104	настоящее время	2	8
105	что не	4	8
106	что и	2	8
107	в настоящее	2	8
108	другой стороны	2	8
109	за пределы	4	8
110	мы можем	2	8
111	кроме того	2	8
112	и с	3	8
113	но что	2	8
114	ясно что	3	8
115	до конца	2	7
116	в формах	2	7
117	может стать	2	7
118	того что	3	7
119	по себе	3	7
120	те же	2	7
121	место в	2	7
122	и те	2	7
123	могут быть	2	7
124	там где	2	7
125	конечно в	2	7
126	в этих	2	7
127	и значение	2	7
128	о том	3	7
129	в котором	3	7
130	социальной группы	3	7
131	не есть	2	6
132	слово в	3	6
133	одной стороны	2	6
134	в какой	2	6
135	все это	3	6
136	должна быть	5	6
137	с другими	2	6
138	зависимости от	4	6
139	с одной	2	6
140	материале слова	2	6
141	между ними	2	6
142	уже не	4	6
143	в корне	2	6
144	не к	3	6
145	как же	2	5
146	от того	4	5
147	для других	2	5
148	в виду	5	5
149	из него	2	5
150	точку зрения	2	5
151	в особенности	2	5
152	в душе	2	5
153	не менее	3	5
154	на границе	3	5
155	что слово	2	5
156	да и	3	5
157	все время	6	5
158	в условиях	2	5
159	она не	2	5
160	формы и	3	5
161	но не	2	5
162	и является	4	5
163	мы ни	5	5
164	в материале	2	5
165	как на	2	5
166	вместе с	2	5
167	социальной среды	2	4
168	слова но	2	4
169	его к	2	4
170	социального взаимодействия	3	4
171	нуждается в	3	4
172	так называемой	3	4
173	едва ли	2	4
174	влияние на	2	4
175	оценки и	2	4
176	и к	4	4
177	можно сказать	5	4
178	связь с	2	4
179	эта последняя	2	4
180	находит свое	3	4
181	в них	3	4
182	разрыв между	2	4
183	в зависимости	2	4
184	относится к	2	4
185	и то	2	4
186	к его	2	4
187	независимо от	2	4
188	стороны и	2	4
189	нет ничего	2	4
190	свое выражение	4	4
191	но все	2	4
192	автора и	2	4
193	но для	3	4
194	значения и	2	4
195	допустим что	2	4
196	уже в	2	4
197	жизни и	4	4
198	из этого	3	4
199	выражение и	2	4
200	если же	2	4
201	как к	3	3
202	социальной жизни	2	3
203	тогда когда	2	3
204	и та	2	3
205	жизненной речи	3	3
206	ко всем	2	3
207	не так	2	3
208	как это	2	3
209	общего с	2	3
210	лежит на	2	3
211	с героем	3	3
212	между собой	2	3
213	является продуктом	3	3
214	и др	5	3
215	и по	3	3
216	делает его	2	3
217	этого общения	2	3
218	имеет место	2	3
219	и вообще	3	3
220	одно и	2	3
221	здесь не	3	3
222	но это	2	3
223	тем не	3	3
224	выходят за	2	3
225	высказывания так	2	3
226	является для	2	3
227	когда он	3	3
228	социальных оценок	3	3
229	двух направлениях	3	3
230	совпадает с	2	3
231	форму и	2	3
232	с ним	3	3
233	этих двух	2	3
234	на все	2	3
235	слагается из	2	3
236	он должен	3	2
237	ее и	3	2
238	оценок и	2	2
239	ясность и	2	2
240	самое справедливо	2	2
241	до известной	2	2
242	можем сказать	2	2
243	и притом	2	2
244	мы никогда	2	2
245	не остается	2	2
246	тем как	2	2
247	в атмосфере	2	2
248	была бы	2	2
249	со всех	2	2
250	самое слово	2	2
251	к ним	2	2
252	находит в	2	2
253	слушателя и	2	2
254	остаются вне	2	2
255	какой степени	2	2
256	в психике	2	2
257	форму как	2	2
258	себя и	2	2
259	известной степени	2	2
260	почти исключительно	2	2
261	данном случае	2	2
262	той социальной	2	2
263	в литературе	4	2
264	его как	2	2
265	словом и	2	2
266	перестает быть	2	2
267	бы не	2	2
268	соприкасается с	2	2
269	и наконец	3	2
270	справедливо и	3	2
271	героя и	5	2
272	с этой	2	2
273	и другие	2	2
274	в чем	2	2
275	эти моменты	2	2
276	высказывание может	2	2
277	на него	2	2
278	дело с	2	2
279	данного коллектива	2	2
280	в жизни	5	2
281	и так	2	2
282	зависит от	2	2
283	оно не	2	2
284	что мы	5	2
285	автором и	2	2
286	нашем примере	7	2
287	мы все	4	2
288	тому же	2	2
289	поскольку они	2	2
290	контекста в	2	2
291	же социальная	2	2
