N	3gram	Losev_Prob	Narrotol
1	в том что	17	18
2	в данном случае	12	17
3	не только в	2	13
4	в отличие от	2	11
5	о том что	8	9
6	в то же	10	8
7	той или иной	16	8
8	тем не менее	23	8
9	не может быть	5	8
10	можно сказать что	2	6
11	и тем самым	3	6
12	с одной стороны	2	6
13	мы имеем дело	2	6
14	на самом деле	5	5
15	подобно тому как	2	5
16	для того чтобы	4	5
17	но и в	2	5
18	во всяком случае	8	4
19	то же самое	17	3
20	точно так же	5	3
21	того или иного	5	3
22	иметь в виду	2	3
23	в связи с	9	3
24	с точки зрения	9	3
25	до сих пор	4	3
26	в зависимости от	3	3
27	на то что	2	3
28	дело в том	4	3
29	и то что	8	3
30	здесь не только	2	2
31	одно и то	4	2
32	и то же	5	2
33	не только не	5	2
34	в таком случае	7	2
35	чем иным как	2	2
36	более или менее	2	2
37	в смысловом отношении	2	2
38	здесь не в	3	2
39	это то что	2	2
40	хотя и не	2	2
41	можно было бы	6	2
42	так же как	3	2
43	что иное как	6	2
44	в том смысле	4	2
45	только потому что	3	2
46	на этот раз	3	2
47	дело здесь не	3	2
48	сами по себе	8	2
49	и в то	2	2
50	с той или	5	2
51	что это за	3	2
52	на первый взгляд	3	2
53	и не в	2	2
54	в той или	7	2
