N	2gram	Losev_Dial	Sovremen
1	не может	16	17
2	точки зрения	25	12
3	может быть	30	12
4	таким образом	5	11
5	в каждом	4	8
6	и в	35	7
7	в этом	18	7
8	и не	51	6
9	ничего не	19	6
10	как и	10	6
11	в результате	2	6
12	мы можем	5	6
13	что же	5	5
14	с точки	18	5
15	все эти	4	5
16	прежде всего	14	5
17	нет и	2	4
18	вопрос о	3	4
19	зависимости от	2	4
20	это не	18	4
21	не только	26	4
22	в том	20	4
23	в зависимости	2	4
24	мы должны	6	4
25	как бы	19	4
26	их в	2	4
27	так как	24	4
28	же это	6	4
29	точку зрения	3	4
30	если мы	3	4
31	в дальнейшем	6	4
32	жизни и	9	4
33	вместе с	3	4
34	а в	8	4
35	из них	5	4
36	и мы	8	3
37	он может	3	3
38	ведь это	3	3
39	когда мы	3	3
40	и потому	6	3
41	но в	8	3
42	с самого	2	3
43	при этом	2	3
44	но мы	3	3
45	состоит из	3	3
46	не в	12	3
47	все же	9	3
48	мы получаем	4	3
49	как он	5	3
50	было бы	14	3
51	в области	2	3
52	уже в	5	3
53	в себе	23	3
54	еще не	4	3
55	и все	11	3
56	все это	14	3
57	в нем	25	3
58	а не	24	3
59	и к	8	3
60	что она	18	3
61	в этой	3	3
62	то же	21	3
63	в одном	4	3
64	отличается от	3	3
65	самого начала	2	3
66	отнюдь не	13	3
67	в конце	5	3
68	в системе	2	3
69	ясно что	11	3
70	может иметь	6	2
71	но все	5	2
72	и по	5	2
73	же самое	3	2
74	всяком случае	3	2
75	что все	2	2
76	быть и	7	2
77	не менее	5	2
78	дает нам	2	2
79	ли оно	2	2
80	не могут	4	2
81	мы видим	6	2
82	в его	4	2
83	с этим	5	2
84	и пр	7	2
85	и что	17	2
86	то и	3	2
87	во всяком	5	2
88	с другом	2	2
89	что такое	13	2
90	в науке	3	2
91	из этих	2	2
92	ее на	2	2
93	в самом	6	2
94	и есть	20	2
95	в виде	2	2
96	еще более	3	2
97	знаем что	2	2
98	что в	19	2
99	времени и	10	2
100	совершенно не	13	2
101	в таком	4	2
102	в которой	3	2
103	у него	2	2
104	такой же	2	2
105	самом деле	6	2
106	со всеми	2	2
107	уже не	3	2
108	свою собственную	2	2
109	если же	2	2
110	и они	3	2
111	могут быть	6	2
112	в один	3	2
113	только один	2	2
114	и пространства	2	2
115	представлять себе	2	2
116	это за	5	2
117	с одной	4	2
118	на этом	4	2
119	как мы	5	2
120	говорить о	9	2
121	что это	21	2
122	или иной	4	2
123	тем не	3	2
124	своего предмета	2	2
125	как известно	3	2
126	и даже	23	2
127	тем же	3	2
128	друг с	2	2
