N	2gram	Losev_Dial	StatiiOP
1	и в	35	103
2	в том	20	89
3	том что	18	77
4	в этом	18	76
5	что в	19	74
6	не только	26	60
7	и т	31	51
8	о том	8	47
9	у пушкина	6	46
10	но и	17	46
11	то что	25	44
12	что он	16	42
13	в его	4	42
14	и не	51	41
15	может быть	30	38
16	т е	49	33
17	было бы	14	32
18	т д	28	32
19	в этой	3	31
20	вовсе не	19	31
21	все это	14	29
22	тем что	2	29
23	таким образом	5	28
24	а в	8	27
25	а не	24	27
26	но в	8	26
27	что это	21	25
28	так и	18	25
29	этом отношении	2	24
30	и его	6	24
31	все же	9	23
32	не в	12	23
33	так что	21	23
34	точки зрения	25	23
35	потому что	23	23
36	того что	6	22
37	в области	2	22
38	прежде всего	14	22
39	для того	2	22
40	в которой	3	22
41	как в	3	22
42	и пр	7	21
43	это не	18	20
44	до сих	4	20
45	т п	3	19
46	в то	10	19
47	сих пор	4	19
48	в своей	9	19
49	только в	7	19
50	об этом	7	18
51	не может	16	18
52	с другой	10	18
53	в котором	5	18
54	он не	5	18
55	самом деле	6	17
56	в данном	5	17
57	в самом	6	17
58	как бы	19	17
59	с этим	5	16
60	сказать что	19	16
61	в ней	4	16
62	можно было	5	16
63	если бы	12	16
64	в этих	6	16
65	в отношении	5	15
66	с тем	2	15
67	как и	10	15
68	для него	2	15
69	например в	2	15
70	другой стороны	7	15
71	из этих	2	15
72	я не	9	15
73	также и	7	15
74	у него	2	15
75	как раз	7	15
76	была бы	4	14
77	к тому	6	14
78	между тем	3	14
79	то же	21	14
80	но все	5	14
81	с точки	18	14
82	и что	17	14
83	в своем	7	13
84	в конце	5	13
85	со стороны	2	13
86	а с	2	13
87	что касается	3	13
88	тому что	4	13
89	но это	12	13
90	в качестве	2	13
91	в нем	25	13
92	во всяком	5	13
93	именно в	4	13
94	из них	5	13
95	всяком случае	3	13
96	в той	4	13
97	жизни и	9	13
98	вместе с	3	13
99	не менее	5	12
100	что они	8	12
101	так как	24	12
