N	2gram	Tiupa_Narr	EvropaiE
1	и в	22	37
2	в пределах	2	25
3	точки зрения	8	23
4	что в	6	21
5	не только	50	18
6	с точки	2	17
7	в то	9	16
8	хотя бы	4	15
9	то же	12	15
10	в своем	7	14
11	но в	10	14
12	но и	39	14
13	и не	34	14
14	же время	7	14
15	в качестве	27	14
16	в этом	23	12
17	в том	20	11
18	в области	4	11
19	так и	12	10
20	так же	2	9
21	не может	16	9
22	отнюдь не	6	9
23	в себе	14	9
24	прежде всего	7	9
25	только в	23	9
26	одной стороны	5	8
27	между тем	5	8
28	в ее	4	8
29	было бы	2	8
30	в своей	8	8
31	с одной	5	8
32	к тому	13	8
33	по своему	3	7
34	также и	4	7
35	с другой	6	7
36	а также	11	7
37	как и	15	7
38	того что	7	7
39	том что	15	6
40	в последние	2	6
41	вслед за	4	6
42	во всех	2	6
43	то есть	15	6
44	и даже	4	6
45	может быть	24	6
46	и на	5	6
47	с этой	3	6
48	того чтобы	7	6
49	для того	4	6
50	на то	4	6
51	то что	14	6
52	как бы	11	6
53	вовсе не	2	6
54	но не	7	5
55	тем самым	9	5
56	и по	3	5
57	и потому	2	5
58	столь же	6	5
59	в той	4	5
60	как мы	3	5
61	со стороны	14	5
62	не в	12	5
63	в виде	2	5
64	в частности	23	5
65	же как	2	5
66	одной из	2	5
67	сказать что	5	4
68	и притом	3	4
69	не имеет	3	4
70	или иного	3	4
71	или иной	6	4
72	можно сказать	11	4
73	то в	4	4
74	именно в	5	4
75	в процессе	2	4
76	в самом	8	4
77	мы не	5	4
78	в ней	5	4
79	для нас	2	4
80	по себе	4	4
81	в некотором	2	4
82	тем более	2	4
83	мира в	4	4
84	к ней	3	4
85	в направлении	2	4
86	той или	7	4
87	как это	7	4
88	того или	3	4
89	никогда не	8	3
90	и от	3	3
91	и для	4	3
92	и только	2	3
93	в данной	2	3
94	известном смысле	4	3
95	о том	5	3
96	к ним	2	3
97	идет о	3	3
98	в данном	17	3
99	всего лишь	8	3
100	того же	2	3
101	в сфере	2	3
102	можно было	2	3
103	мира и	2	3
104	в свою	4	3
105	и к	7	3
106	в результате	4	3
107	мы можем	2	3
108	не будет	2	3
109	из них	4	3
110	в известном	4	3
111	всяком случае	2	3
112	место в	3	3
113	на себя	5	3
114	что и	3	3
115	во второй	2	3
116	и тем	9	3
117	по своим	2	3
118	говорит о	3	3
119	этом отношении	5	3
120	не является	7	3
121	жизни в	7	3
122	в культуре	3	3
123	потому что	7	3
124	она в	3	3
125	в таком	4	3
126	представляет собой	21	3
127	заключает в	2	3
128	как в	9	3
129	связано с	2	3
130	как на	2	3
131	во всяком	2	3
132	дело в	2	3
133	исключительно в	3	2
134	данном случае	12	2
135	в мире	8	2
136	на этот	2	2
137	если в	2	2
138	в его	12	2
139	начиная с	3	2
140	что это	4	2
141	и то	3	2
142	меньшей степени	2	2
143	к нему	5	2
144	она не	2	2
145	а в	19	2
146	участие в	2	2
147	в котором	3	2
148	но как	3	2
149	и другая	2	2
150	далеко не	6	2
151	в своих	2	2
152	своему характеру	2	2
153	и еще	2	2
154	только к	3	2
155	и с	3	2
156	бы в	2	2
157	в случае	4	2
158	что на	4	2
159	во втором	6	2
160	другой стороны	2	2
161	также в	2	2
162	между ними	3	2
163	по своей	3	2
164	в одном	5	2
165	и как	4	2
166	не можем	2	2
167	если бы	9	2
168	для них	2	2
169	иначе говоря	14	2
170	в этих	3	2
171	жизни и	7	2
172	войны и	4	2
173	в силу	5	2
174	частности в	2	2
175	более чем	2	2
176	и того	5	2
177	в других	2	2
178	а не	27	2
179	большей части	5	2
180	и наконец	2	2
181	свою очередь	2	2
182	же в	6	2
183	точка зрения	5	2
184	но именно	3	2
185	и все	7	2
186	или в	7	2
187	наряду с	2	2
188	таким образом	5	2
189	а именно	2	2
190	он не	8	2
191	как будто	4	2
192	не к	4	2
193	в этой	8	2
194	между собой	3	2
195	хотя и	8	2
196	в какой	2	2
197	должна быть	2	2
198	вместе с	3	2
199	он сам	4	2
200	и более	2	2
201	имеет место	4	2
