N	3gram	Propp_Isto	VLabPisa
1	и т д	36	16
2	с другой стороны	10	8
3	не может быть	6	8
4	по отношению к	2	7
5	в том что	4	5
6	вместе с тем	7	4
7	в связи с	6	4
8	мы видели что	2	3
9	подобно тому как	2	3
10	для того чтобы	3	3
11	о том как	4	3
12	о том что	5	3
13	во всех этих	2	2
14	с одной стороны	7	2
15	в том числе	3	2
16	т е в	6	2
17	этой точки зрения	2	2
18	не только в	2	2
19	мы знаем что	8	2
20	том числе и	2	2
21	до сих пор	7	2
22	не в том	2	2
23	таким образом в	2	2
24	после того как	4	2
25	в том чтобы	2	2
