N	2gram	Losev_Vlad	Tragedij
1	и в	56	18
2	в году	54	9
3	в этом	30	9
4	не только	35	8
5	и не	33	7
6	он сам	3	7
7	и на	7	7
8	как бы	5	7
9	и с	27	7
10	может быть	12	7
11	же время	7	6
12	что он	22	6
13	но в	19	6
14	и его	12	6
15	у него	28	6
16	несмотря на	7	5
17	у достоевского	2	5
18	что это	2	5
19	к жизни	2	5
20	все же	11	5
21	это не	3	5
22	то же	10	5
23	как и	7	5
24	в дальнейшем	10	5
25	так и	11	5
26	не может	12	5
27	в то	15	5
28	он всегда	2	4
29	что в	24	4
30	еще не	2	4
31	в целом	3	4
32	но и	26	4
33	прежде всего	5	4
34	об этом	13	4
35	том что	22	4
36	в этой	4	4
37	и что	11	4
38	так же	4	4
39	и все	8	4
40	все это	7	4
41	в нем	7	4
42	что я	5	4
43	то что	30	4
44	но это	6	4
45	я не	8	4
46	и даже	23	4
47	в себе	5	4
48	один из	4	3
49	и как	7	3
50	уже в	9	3
51	тем самым	2	3
52	к нему	6	3
53	в своем	10	3
54	при этом	5	3
55	в его	18	3
56	что с	3	3
57	все эти	6	3
58	и он	7	3
59	отнюдь не	3	3
60	о чем	6	3
61	в основном	5	3
62	и сам	7	3
63	как будто	2	3
64	как в	6	3
65	как это	11	3
66	своего отца	2	3
67	что вы	2	3
68	жизнь и	3	3
69	для него	16	3
70	то есть	5	3
71	в конце	22	3
72	с ним	10	3
73	никогда не	15	2
74	в самом	3	2
75	и то	13	2
76	но все	3	2
77	по поводу	15	2
78	до конца	8	2
79	с тем	4	2
80	точно так	2	2
81	друг друга	3	2
82	тем что	2	2
83	первого же	3	2
84	в одном	2	2
85	его в	3	2
86	в русском	2	2
87	не имеет	2	2
88	в виде	4	2
89	раз и	4	2
90	ничего не	4	2
91	то и	3	2
92	отца и	4	2
93	не могут	2	2
94	но эта	2	2
95	что все	2	2
96	к тому	5	2
97	о том	13	2
98	о его	7	2
99	что и	6	2
100	ни в	4	2
101	тут же	7	2
102	не в	12	2
103	это был	5	2
104	и здесь	3	2
105	а что	3	2
106	потому что	16	2
107	что этот	4	2
108	и я	7	2
109	и личность	2	2
110	в частности	4	2
111	как у	3	2
112	в таком	2	2
113	так что	13	2
114	он не	13	2
115	под влиянием	6	2
116	и за	3	2
117	сам говорит	2	2
118	уже не	6	2
119	только к	3	2
120	что она	2	2
121	и это	4	2
122	говорит что	4	2
123	на меня	3	2
124	личности и	2	2
125	в том	26	2
126	с первого	2	2
127	с г	2	2
128	году в	3	2
129	и до	4	2
130	не был	6	2
131	не мог	10	2
132	еще в	5	2
133	он и	8	2
134	с его	15	2
135	во сне	2	2
136	он был	20	2
137	в это	6	2
138	времени в	2	2
139	отношение к	7	2
