N	3gram	Bakhtin_Fr	Marksizm
1	с точки зрения	6	46
2	не может быть	5	25
3	в то же	5	15
4	по отношению к	2	15
5	то же время	5	15
6	в том что	6	14
7	и не может	2	12
8	для того чтобы	2	11
9	до сих пор	7	11
10	в отличие от	4	10
11	но в то	2	9
12	в большинстве случаев	2	9
13	во всяком случае	2	6
14	на самом деле	2	6
15	с одной стороны	2	6
16	как мы уже	8	6
17	той или иной	5	5
18	как мы видели	2	5
19	в этом отношении	5	5
20	на самом же	3	5
21	самом же деле	3	5
22	и прежде всего	4	4
23	можно сказать что	3	4
24	о том что	3	4
25	в узком смысле	2	4
26	вполне понятно что	2	4
27	но все же	3	4
28	в применении к	3	3
29	и т.п в	2	3
30	друг с другом	2	3
31	в том числе	10	3
32	не могут быть	2	3
33	на этот вопрос	2	3
34	вовсе не является	3	3
35	не только в	5	3
36	но и в	5	3
37	том числе и	7	3
38	в значительной степени	4	3
39	этот вопрос мы	2	3
40	в той или	5	3
41	до известной степени	2	2
42	так и в	3	2
43	в пределах одной	2	2
44	и в других	2	2
45	в эпоху возрождения	4	2
46	xvii и xviii	4	2
47	пределы нашей работы	2	2
48	в его целом	2	2
49	к себе самому	2	2
50	в его концепции	2	2
51	в собственном смысле	3	2
52	и в том	2	2
53	за пределы нашей	2	2
54	во всех других	2	2
55	все разобранные нами	2	2
