N	3gram	Bakhtin_sl	StatiiOP
1	в том что	4	47
2	и т д	7	32
3	о том что	2	29
4	в этом отношении	2	24
5	и т п	49	19
6	до сих пор	4	19
7	с точки зрения	11	14
8	во всяком случае	7	13
9	с другой стороны	5	13
10	не может быть	11	11
11	в то же	15	9
12	то же время	15	9
13	можно было бы	2	9
14	тем не менее	2	8
15	не только в	3	8
16	к тому что	2	8
17	в данном случае	3	7
18	в то время	2	7
19	и в этом	2	7
20	по отношению к	2	6
21	так и в	5	6
22	не только не	2	6
23	т п в	2	5
24	то время как	2	5
25	но и в	2	5
26	в мировой литературе	2	4
27	в связи с	2	4
28	с одной стороны	7	4
29	и в том	2	4
30	того или иного	2	4
31	во всех этих	2	3
32	таким образом в	4	3
33	в известном смысле	2	3
34	а вовсе не	4	3
35	в лучшем случае	3	3
36	в этом случае	4	3
37	более или менее	5	3
38	это не значит	2	3
39	в значительной степени	6	3
40	в евгении онегине	3	2
41	как мы видели	2	2
42	в этих формах	2	2
43	не укладывается в	2	2
44	но в то	6	2
45	может быть и	2	2
46	но и здесь	3	2
47	а также и	3	2
48	как и в	2	2
49	той или иной	13	2
50	а между тем	2	2
51	не может не	5	2
52	и в то	6	2
53	несколько слов о	2	2
54	в отличие от	12	2
55	и в другом	2	2
56	свое выражение в	3	2
57	в зависимости от	4	2
58	т п но	2	2
59	хотя бы и	5	2
60	как бы ни	2	2
61	в свою очередь	3	2
62	в той или	12	2
