N	3gram	Losev_Prob	Problema
1	не может быть	5	11
2	но отнюдь не	2	7
3	с точки зрения	9	6
4	и прежде всего	3	5
5	в отличие от	2	5
6	с другой стороны	11	4
7	в данном случае	12	4
8	бы то ни	5	3
9	с одной стороны	2	3
10	в том что	17	3
11	в этом смысле	5	3
12	в то же	10	3
13	на самом деле	5	3
14	тем не менее	23	3
15	можно было бы	6	3
16	то ни было	4	2
17	то же самое	17	2
18	и в частности	4	2
19	той или иной	16	2
20	в чем не	2	2
21	на первый план	3	2
22	не только в	2	2
23	ни в чем	2	2
24	мы имеем дело	2	2
25	для того чтобы	4	2
26	можно сказать что	2	2
27	то есть чисто	2	2
28	и тем самым	3	2
29	и в то	2	2
30	сказать и о	2	2
31	то или иное	3	2
32	но и в	2	2
33	того или иного	5	2
34	так и в	2	2
