N	3gram	Berdyaev_M	Vladivir
1	в том что	3	29
2	о том что	3	22
3	в то время	2	13
4	в конце концов	3	11
5	не может быть	22	10
6	вместе с тем	5	10
7	это значит что	3	7
8	никогда не был	2	7
9	то время как	2	5
10	он никогда не	3	5
11	не только в	2	5
12	что и в	3	5
13	он не только	2	5
14	не что иное	4	4
15	также и в	2	4
16	для того чтобы	4	4
17	что иное как	4	4
18	в себе и	2	4
19	и вместе с	4	4
20	что он не	3	3
21	был для него	2	3
22	потому что в	4	3
23	уже не только	2	3
24	а не к	2	3
25	но это не	3	3
26	так и не	2	3
27	было для него	2	3
28	он уже не	3	3
29	хотя бы и	2	3
30	а не только	3	2
31	и в конце	2	2
32	оно не может	2	2
33	после того как	2	2
34	может быть и	2	2
35	с тем что	3	2
36	есть прежде всего	4	2
37	до сих пор	5	2
38	не может не	2	2
39	как бы его	2	2
40	ни в чем	2	2
41	есть не что	3	2
42	человек не может	3	2
43	это и есть	7	2
44	у него была	2	2
