N	3gram	Bakhtin_Fr	VLabPisa
1	в этом отношении	4	14
2	с другой стороны	5	8
3	не может быть	2	8
4	по отношению к	2	7
5	в то же	13	5
6	в том что	2	5
7	то же время	13	5
8	можно сказать что	2	4
9	в связи с	5	4
10	подобно тому как	2	3
11	большей или меньшей	3	3
12	для того чтобы	5	3
13	и в то	2	3
14	о том что	3	3
15	это и есть	2	3
16	в конце концов	3	2
17	с одной стороны	4	2
18	во всяком случае	2	2
19	в том числе	4	2
20	одной стороны и	2	2
21	только то что	2	2
22	или меньшей степени	2	2
23	не только в	3	2
24	том числе и	3	2
25	до сих пор	6	2
26	в большей или	2	2
27	можно было бы	2	2
