N	2gram	Savitsky_P	VelikijI
1	и не	12	20
2	и в	14	16
3	то что	4	9
4	и потому	4	7
5	а не	2	7
6	в мире	2	5
7	как бы	4	5
8	но и	6	5
9	все это	2	5
10	хотя и	3	5
11	того что	2	5
12	в котором	4	4
13	потому что	3	4
14	в нем	3	4
15	в ней	6	4
16	что мы	3	4
17	в его	2	4
18	говорить о	2	4
19	в этом	10	4
20	и есть	2	4
21	в жизни	2	3
22	что в	4	3
23	в том	9	3
24	но в	9	3
25	должно быть	2	3
26	хотя бы	8	3
27	во всех	2	3
28	к чему	2	3
29	в них	2	3
30	и мы	2	3
31	не было	2	3
32	не в	5	3
33	тот же	3	3
34	с тем	3	2
35	да и	2	2
36	одна из	2	2
37	но не	3	2
38	и это	2	2
39	это не	3	2
40	не только	17	2
41	является в	2	2
42	а в	4	2
43	том что	4	2
44	вслед за	3	2
45	могут быть	3	2
46	не к	2	2
47	для них	2	2
48	более чем	2	2
49	духа и	2	2
50	мы не	3	2
51	только в	7	2
52	для нас	2	2
53	на этих	2	2
54	прежде всего	3	2
55	и т	3	2
56	между тем	3	2
