N	2gram	Voloshinov	Hudozhes
1	и в	13	23
2	не только	6	20
3	в том	2	20
4	может быть	8	19
5	при этом	2	19
6	и не	8	16
7	но и	3	14
8	литературного произведения	2	13
9	а в	2	13
10	в себе	3	13
11	а не	2	13
12	то же	4	12
13	в этом	2	12
14	и его	12	12
15	так и	3	12
16	как бы	6	11
17	точки зрения	7	11
18	в его	7	11
19	но в	4	10
20	по отношению	3	10
21	отношению к	3	10
22	не в	3	9
23	том что	2	9
24	не может	8	9
25	с другой	2	9
26	своего рода	2	9
27	в искусстве	3	9
28	в области	2	8
29	в самом	2	7
30	и т.п	7	7
31	лишь в	4	7
32	в своей	4	7
33	только в	6	7
34	что в	3	7
35	не столько	3	7
36	другой стороны	2	6
37	а также	2	6
38	в нем	2	6
39	в ее	3	6
40	могут быть	2	5
41	в их	3	5
42	не является	4	5
43	героя и	2	5
44	не на	2	5
45	то что	6	5
46	не менее	2	5
47	прежде всего	9	5
48	для него	2	5
49	и то	3	4
50	в отношении	2	4
51	эстетического объекта	5	4
52	или иного	2	4
53	для себя	2	4
54	того или	2	4
55	к тому	2	4
56	эстетический объект	7	4
57	между тем	2	4
58	во времени	2	4
59	входит в	2	4
60	в данном	2	4
61	и т.д	5	4
62	художественного произведения	5	4
63	в другом	2	4
64	и тем	2	4
65	говорить о	3	4
66	и для	3	3
67	одно и	3	3
68	в произведении	2	3
69	и ее	2	3
70	произведения как	4	3
71	как и	3	3
72	одной стороны	2	3
73	в целом	2	3
74	и к	2	3
75	мог бы	2	3
76	если бы	2	3
77	с точки	5	3
78	художественное произведение	2	3
79	с этой	2	3
80	в связи	2	3
81	таким образом	6	3
82	в которой	3	3
83	во всей	2	3
84	в пределах	3	3
85	в одном	3	3
86	с одной	2	3
87	имеет место	2	3
88	в структуре	2	3
89	никогда не	3	2
90	как в	2	2
91	и др	2	2
92	всей своей	2	2
93	ее в	2	2
94	от всех	2	2
95	еще и	4	2
96	в чем	2	2
97	все эти	2	2
98	вслед за	2	2
99	за пределы	3	2
100	только и	4	2
101	не как	3	2
102	так же	2	2
103	собственно говоря	2	2
104	в них	2	2
105	материала в	4	2
106	несмотря на	2	2
107	роль в	2	2
108	слова и	2	2
109	все это	4	2
110	с ними	2	2
111	истории литературы	2	2
112	от своего	2	2
113	ни одно	2	2
114	и может	2	2
115	самом деле	3	2
116	превращается в	3	2
117	вовсе не	2	2
