N	3gram	Losev_Prob	Vladivir
1	в том что	13	29
2	о том что	14	22
3	тем не менее	8	18
4	и то что	3	14
5	в то время	4	13
6	в те времена	2	13
7	необходимо сказать что	6	13
8	дело в том	4	13
9	во всяком случае	6	12
10	в связи с	11	12
11	в конце концов	7	11
12	к тому же	5	11
13	в то же	2	10
14	с точки зрения	13	10
15	не может быть	2	10
16	вместе с тем	5	10
17	в этом смысле	4	9
18	а также и	3	8
19	на то что	2	8
20	это значит что	2	7
21	в это время	3	7
22	точно так же	4	7
23	у нас выше	3	7
24	том что он	3	6
25	как это мы	2	6
26	в данном случае	5	6
27	также и то	2	6
28	в настоящее время	7	6
29	с другой стороны	7	6
30	так или иначе	3	6
31	бы то ни	4	5
32	то время как	4	5
33	но даже и	4	5
34	не говоря уже	2	5
35	и потому что	2	5
36	само собой разумеется	2	5
37	не только в	5	5
38	если не прямо	3	5
39	то что в	2	5
40	ни в каких	3	5
41	в сравнении с	4	5
42	на первом плане	3	5
43	по крайней мере	8	4
44	на эту тему	2	4
45	сам по себе	3	4
46	можно сказать что	4	4
47	говоря уже о	2	4
48	вовсе не есть	2	4
49	и ни в	2	4
50	не что иное	3	4
51	еще и потому	2	4
52	в этом отношении	4	4
53	также и в	2	4
54	можно было бы	2	4
55	с одной стороны	5	4
56	для того чтобы	3	4
57	что иное как	3	4
58	и вместе с	3	4
59	в том чтобы	2	4
60	с самого начала	3	3
61	указать хотя бы	2	3
62	мы видели выше	2	3
63	ничего общего с	2	3
64	в том числе	2	3
65	только в том	2	3
66	мы хотели бы	2	3
67	и в частности	4	3
68	по этому поводу	4	3
69	а с другой	3	3
70	достаточно указать хотя	2	3
71	хотя и не	3	3
72	вот что пишет	2	3
73	в свою очередь	2	3
74	хотя бы на	2	3
75	и прежде всего	2	2
76	и не в	2	2
77	можно было находить	2	2
78	за то что	2	2
79	после того как	3	2
80	не имеет ничего	2	2
81	для нас в	2	2
82	но в то	2	2
83	имеет ничего общего	2	2
84	никак не мог	2	2
85	мы не будем	3	2
86	до сих пор	3	2
87	и никак не	2	2
88	только в таком	2	2
89	все того же	2	2
90	бросается в глаза	2	2
91	с ним в	2	2
92	в таком случае	2	2
93	ни в чем	2	2
94	здесь перед нами	6	2
95	только в виде	2	2
96	то ни было	2	2
97	до некоторой степени	4	2
98	это и есть	2	2
99	у него и	2	2
