N	2gram	Trubetskoy	Sovremen
1	не может	4	17
2	точки зрения	13	12
3	может быть	10	12
4	таким образом	22	11
5	и в	26	7
6	в этом	15	7
7	и не	8	6
8	в результате	3	6
9	мы можем	2	6
10	с точки	6	5
11	все эти	6	5
12	и наконец	2	5
13	прежде всего	2	5
14	мы видели	2	4
15	не только	10	4
16	в том	11	4
17	мы должны	6	4
18	как бы	12	4
19	так как	9	4
20	жизни и	2	4
21	вместе с	15	4
22	а в	4	4
23	из них	7	4
24	и т.д	6	3
25	и потому	6	3
26	но в	7	3
27	с самого	3	3
28	при этом	3	3
29	не в	2	3
30	все же	6	3
31	у всех	2	3
32	он в	2	3
33	в области	9	3
34	уже в	2	3
35	в себе	6	3
36	еще не	2	3
37	и все	2	3
38	все это	6	3
39	в нем	4	3
40	а не	5	3
41	и к	5	3
42	в этой	4	3
43	при таком	2	3
44	то же	4	3
45	в одном	3	3
46	отличается от	2	3
47	самого начала	2	3
48	в конце	6	3
49	ясно что	3	3
50	но все	7	2
51	на этот	4	2
52	и по	4	2
53	же самое	2	2
54	всяком случае	6	2
55	что все	4	2
56	быть и	2	2
57	можно назвать	2	2
58	не менее	3	2
59	не могут	2	2
60	в его	5	2
61	и что	4	2
62	во всяком	6	2
63	с другом	5	2
64	приводит к	2	2
65	из этих	10	2
66	в самом	4	2
67	в виде	4	2
68	что в	9	2
69	в таком	3	2
70	в которой	3	2
71	со всеми	2	2
72	каждая из	3	2
73	уже не	3	2
74	в свою	2	2
75	то ни	2	2
76	тот же	2	2
77	с одной	7	2
78	что это	3	2
79	или иной	2	2
80	тем не	3	2
81	из которых	4	2
82	и даже	3	2
83	друг с	5	2
