N	2gram	Bakhtin_Fr	OGranits
1	и в	67	13
2	и его	19	12
3	прежде всего	19	9
4	и не	23	8
5	не может	9	8
6	может быть	4	8
7	в его	17	7
8	и их	6	7
9	точки зрения	7	7
10	и т.п	31	7
11	не только	23	6
12	как бы	18	6
13	таким образом	20	6
14	только в	6	6
15	то что	9	6
16	в поэзии	3	5
17	и т.д	2	5
18	все же	7	5
19	с точки	5	5
20	и эта	2	5
21	и наконец	5	5
22	хотя бы	2	5
23	мы можем	5	4
24	еще и	6	4
25	но в	20	4
26	лишь в	3	4
27	то же	18	4
28	но мы	3	4
29	в своей	6	4
30	все это	15	4
31	было бы	5	4
32	мы не	6	4
33	в каждом	3	4
34	на фоне	4	4
35	никогда не	6	3
36	да и	2	3
37	и для	4	3
38	и то	2	3
39	со всей	2	3
40	и все	18	3
41	связана с	5	3
42	в ее	2	3
43	превращается в	5	3
44	с этим	6	3
45	как и	19	3
46	в пределах	2	3
47	не в	8	3
48	в их	4	3
49	говорить о	5	3
50	так как	16	3
51	в себе	3	3
52	что в	14	3
53	точку зрения	3	3
54	г в	2	3
55	самом деле	6	3
56	за пределы	4	3
57	так и	14	3
58	не как	3	3
59	в одном	7	3
60	в искусстве	3	3
61	тела и	14	3
62	но и	23	3
63	не столько	5	3
64	телом и	5	2
65	в самом	7	2
66	мы видим	6	2
67	конечно в	4	2
68	своего рода	7	2
69	в этом	27	2
70	в них	12	2
71	данном случае	4	2
72	в книге	2	2
73	кажется что	2	2
74	и отчасти	3	2
75	языка но	2	2
76	в том	16	2
77	тем что	3	2
78	в отношении	2	2
79	несмотря на	3	2
80	в целом	2	2
81	если бы	2	2
82	от этого	2	2
83	думать что	2	2
84	с одной	2	2
85	не имеет	4	2
86	всей своей	2	2
87	роль в	5	2
88	и др	11	2
89	пути к	2	2
90	громадную роль	2	2
91	более того	3	2
92	во времени	2	2
93	с другой	3	2
94	там где	10	2
95	слова и	2	2
96	от всех	6	2
97	а в	4	2
98	том что	13	2
99	а как	3	2
100	а также	4	2
101	в г	2	2
102	и к	7	2
103	в связи	5	2
104	нужно отметить	3	2
105	в данном	4	2
106	в общем	5	2
107	не менее	4	2
108	все эти	12	2
109	в области	2	2
110	что эта	3	2
111	связанные с	7	2
112	так же	13	2
113	г по	2	2
114	что они	3	2
115	мы уже	13	2
116	нуждается в	3	2
117	и при	2	2
118	в нем	20	2
119	при этом	5	2
120	и ее	2	2
121	форм и	5	2
122	а не	6	2
123	между собою	6	2
124	в ней	10	2
125	еще в	3	2
126	в течение	3	2
127	как в	4	2
128	другой стороны	2	2
129	и наиболее	2	2
130	чем же	5	2
131	одной стороны	2	2
132	бы в	5	2
133	между тем	3	2
134	в целях	2	2
135	и этот	2	2
136	в чем	6	2
137	связанных с	6	2
138	соответствии с	2	2
139	тот же	4	2
140	в другом	4	2
141	самого начала	3	2
142	вовсе не	19	2
143	в этот	3	2
144	с самого	3	2
145	к тому	4	2
146	не мог	8	2
147	с помощью	6	2
148	для него	4	2
149	из тела	2	2
