N	3gram	Potebnia_M	KulturaY
1	и т п	4	93
2	и т д	6	42
3	для того чтобы	4	38
4	с точки зрения	3	36
5	в том что	18	33
6	во всяком случае	7	19
7	тем не менее	10	19
8	с другой стороны	7	17
9	до сих пор	5	14
10	по крайней мере	6	13
11	только потому что	3	13
12	по отношению к	13	13
13	в связи с	2	12
14	не может быть	11	11
15	в этом смысле	4	10
16	на самом деле	2	8
17	не в том	6	8
18	не только в	3	8
19	само по себе	6	8
20	только в том	7	7
21	после того как	3	7
22	с одной стороны	6	7
23	в свою очередь	8	7
24	в то же	3	6
25	только тогда когда	5	6
26	то же время	3	6
27	на этот вопрос	2	5
28	но все же	2	5
29	более или менее	6	5
30	так и в	5	5
31	и в этом	7	5
32	с этой точки	2	5
33	и потому что	2	4
34	сам по себе	5	4
35	одного и того	6	4
36	к тому что	2	4
37	на то что	3	4
38	в том и	2	4
39	смысле этого слова	3	4
40	потому что как	3	4
41	и того же	6	4
42	а в том	4	4
43	то же в	2	4
44	в противном случае	3	3
45	но с другой	3	3
46	от того что	5	3
47	по мере того	6	3
48	в таком случае	4	3
49	потому что не	5	3
50	не могут быть	5	3
51	в то время	3	3
52	с тем что	4	3
53	мере того как	6	3
54	то тем самым	2	3
55	что и в	4	3
56	мы увидим что	3	3
57	в том смысле	7	3
58	не только для	2	3
59	обратить внимание на	2	3
60	сама по себе	4	3
61	что язык есть	5	3
62	показать в чем	2	2
63	бы то ни	2	2
64	не что иное	2	2
65	в применении к	3	2
66	и той же	3	2
67	того как мы	2	2
68	потому что в	5	2
69	друг от друга	3	2
70	из того что	2	2
71	можно себе представить	2	2
72	и с этой	2	2
73	язык как на	2	2
74	таким образом в	3	2
75	а так как	3	2
76	в собственном смысле	2	2
77	том смысле что	2	2
78	то что мы	2	2
79	что в языке	2	2
80	на язык как	3	2
81	и в таком	2	2
82	одной и той	3	2
83	что иное как	2	2
84	в одном из	2	2
85	может быть только	2	2
86	и в том	3	2
87	может быть не	4	2
88	если бы не	3	2
89	того что они	2	2
90	сами по себе	8	2
91	быть не может	2	2
92	по себе не	3	2
