N	3gram	Losev_Prob	Vvedenie
1	и т д	20	39
2	для того чтобы	4	22
3	в том что	17	15
4	о том что	8	13
5	в этом смысле	5	10
6	но также и	2	10
7	не может быть	5	10
8	тем не менее	23	9
9	до сих пор	4	7
10	в то же	10	6
11	в этом случае	8	6
12	не что иное	6	5
13	во всяком случае	8	5
14	что иное как	6	5
15	с другой стороны	11	5
16	по крайней мере	9	4
17	не только в	2	4
18	в данном случае	12	4
19	так или иначе	2	4
20	само по себе	5	4
21	и в этом	6	4
22	с одной стороны	2	4
23	в отличие от	2	4
24	с точки зрения	9	4
25	можно было бы	6	4
26	по сравнению с	3	4
27	широком смысле слова	2	4
28	заключается в том	5	3
29	то же самое	17	3
30	той или иной	16	3
31	как мы видели	2	3
32	в чем же	2	3
33	есть не что	6	3
34	в зависимости от	3	3
35	и тем не	6	3
36	можно сказать что	2	3
37	в том виде	4	3
38	дело в том	4	3
39	тех или иных	7	3
40	сама по себе	11	3
41	и то что	8	3
42	одно и то	4	2
43	том или ином	3	2
44	и то же	5	2
45	в том или	2	2
46	всяком случае не	2	2
47	сам по себе	10	2
48	в значительной мере	2	2
49	что же касается	5	2
50	подобно тому как	2	2
51	этой точки зрения	2	2
52	как будто бы	7	2
53	в конце концов	4	2
54	одна от другой	2	2
55	вовсе не в	2	2
56	точно так же	5	2
57	потому что он	6	2
58	только в том	2	2
59	обратить внимание на	2	2
60	может быть и	3	2
61	хотя бы и	2	2
62	в связи с	9	2
