N	2gram	Vygotskiy_	Stilisti
1	и в	55	42
2	как бы	33	30
3	не только	24	28
4	прежде всего	6	22
5	хотя бы	5	18
6	то же	16	16
7	но и	16	16
8	и не	19	14
9	не может	15	13
10	может быть	34	13
11	как и	9	12
12	точки зрения	15	11
13	что мы	12	11
14	мы уже	7	11
15	в себе	13	10
16	и как	10	10
17	мы должны	10	10
18	в этом	30	10
19	как мы	6	10
20	в то	6	9
21	для того	45	9
22	все же	11	9
23	то что	69	9
24	при этом	11	9
25	мы не	8	9
26	ничего не	4	8
27	так как	20	8
28	и это	13	8
29	с тем	10	8
30	в ней	5	8
31	таким образом	35	8
32	с его	6	8
33	никогда не	15	7
34	и от	2	7
35	в которой	4	7
36	мы можем	8	7
37	зависимости от	9	7
38	и той	4	7
39	же время	2	7
40	так и	6	7
41	потому что	48	7
42	слов и	2	7
43	только в	12	7
44	а не	16	7
45	и на	12	7
46	того чтобы	43	7
47	в зависимости	7	7
48	было бы	15	7
49	и его	10	7
50	той же	6	7
51	и тем	6	7
52	одно и	3	6
53	или иной	2	6
54	когда мы	10	6
55	и так	4	6
56	бы в	7	6
57	во всех	6	6
58	не в	12	6
59	но ведь	2	6
60	в области	2	6
61	в конце	10	6
62	речи и	2	6
63	в нем	13	6
64	в свою	3	6
65	на его	4	6
66	в его	8	6
67	в форме	2	6
68	в этой	15	6
69	мы будем	3	6
70	с помощью	3	6
71	и то	12	5
72	все время	44	5
73	в сознании	2	5
74	и следовательно	3	5
75	в нашем	3	5
76	то есть	16	5
77	мы никогда	5	5
78	мы увидим	11	5
79	слова и	2	5
80	не является	3	5
81	и наконец	5	5
82	и их	3	5
83	самом деле	17	5
84	как это	16	5
85	же мы	3	5
86	а с	7	5
87	мы видели	2	5
88	но все	5	5
89	и является	2	5
90	тому что	11	5
91	а в	7	5
92	но в	7	5
93	те же	3	5
94	в самом	18	5
95	и с	3	5
96	уже в	7	5
97	в той	3	5
98	с точки	5	5
99	же самое	13	5
100	вместе с	16	5
101	да и	4	4
102	что это	15	4
103	в одном	5	4
104	так же	19	4
105	в словах	3	4
106	на это	3	4
107	вопроса о	2	4
108	его в	2	4
109	на него	4	4
110	если бы	21	4
111	что именно	7	4
112	не что	2	4
113	были бы	3	4
114	у нас	7	4
115	того что	12	4
116	самого начала	5	4
117	можно было	6	4
118	один из	9	4
119	одной и	4	4
120	и все	15	4
121	в каждом	2	4
122	с самого	5	4
123	к тому	12	4
124	о том	24	4
125	что такое	2	4
126	точка зрения	4	4
127	если мы	24	4
128	и к	5	4
129	в целом	7	4
