N	2gram	Berdyaev_O	Tragedij
1	и в	19	18
2	в бесах	3	9
3	в этом	12	9
4	не только	11	8
5	и не	13	7
6	он сам	4	7
7	и на	2	7
8	как бы	3	7
9	и с	2	7
10	может быть	11	7
11	что он	3	6
12	но в	2	6
13	и его	4	6
14	у него	22	6
15	у достоевского	19	5
16	все же	2	5
17	это не	3	5
18	как и	6	5
19	так и	2	5
20	не может	4	5
21	он всегда	7	4
22	что в	4	4
23	еще не	3	4
24	но и	13	4
25	прежде всего	9	4
26	том что	2	4
27	в этой	5	4
28	и все	10	4
29	все это	6	4
30	в нем	10	4
31	то что	5	4
32	достоевский не	4	4
33	что достоевский	2	4
34	в себе	3	4
35	уже в	2	3
36	записках из	3	3
37	к нему	3	3
38	в своем	2	3
39	в его	7	3
40	все эти	4	3
41	достоевского в	3	3
42	и он	8	3
43	никто не	3	3
44	должно быть	2	3
45	для него	5	3
46	с ним	3	3
47	никогда не	9	2
48	в самом	5	2
49	и то	2	2
50	ивана карамазова	7	2
51	до конца	7	2
52	с тем	2	2
53	мертвого дома	2	2
54	тем что	2	2
55	в записках	3	2
56	в душе	2	2
57	вопрос о	10	2
58	его в	2	2
59	не имеет	2	2
60	ничего не	2	2
61	не могут	3	2
62	в ее	2	2
63	что все	2	2
64	и великий	3	2
65	о том	3	2
66	о его	5	2
67	что и	2	2
68	не в	11	2
69	для достоевского	5	2
70	потому что	9	2
71	и наказании	3	2
72	человеческой личности	6	2
73	так что	2	2
74	он не	7	2
75	и ее	3	2
76	в самую	4	2
77	личности и	2	2
78	в преступлении	4	2
79	в том	5	2
80	из мертвого	2	2
81	романах достоевского	3	2
82	преступлении и	3	2
83	с его	4	2
84	он был	8	2
85	зла в	2	2
86	отношение к	5	2
