N	2gram	Nazirov_Tr	Hudozhes
1	то есть	3	26
2	в мире	3	24
3	и в	18	23
4	не только	8	20
5	в том	2	20
6	может быть	7	19
7	при этом	3	19
8	в частности	2	18
9	и не	7	16
10	но и	4	14
11	в себе	4	13
12	то же	5	12
13	в этом	9	12
14	и его	6	12
15	так и	5	12
16	как бы	7	11
17	в его	3	11
18	но в	6	10
19	не в	2	9
20	в душе	2	9
21	том что	4	9
22	не может	5	9
23	своего рода	3	9
24	в то	5	8
25	в самом	2	7
26	отношение к	2	7
27	же время	6	7
28	как это	3	7
29	что в	4	7
30	отличие от	2	7
31	в отличие	2	7
32	уже не	2	6
33	в нем	4	6
34	с ее	3	6
35	в ее	2	6
36	с его	2	6
37	тем самым	3	5
38	ни в	2	5
39	в ходе	2	5
40	что он	6	5
41	то что	4	5
42	прежде всего	4	5
43	для него	3	5
44	и то	2	4
45	его в	2	4
46	это не	5	4
47	к тому	2	4
48	в данном	2	4
49	и как	3	4
50	еще не	4	4
51	и что	4	4
52	он не	2	4
53	в своем	3	4
54	к нему	3	3
55	и ее	2	3
56	не случайно	2	3
57	в романе	10	3
58	как и	5	3
59	потому что	2	3
60	о чем	3	3
61	в целом	4	3
62	личности и	2	3
63	и на	7	3
64	мог бы	3	3
65	как говорит	2	3
66	к области	2	3
67	в таком	2	3
68	и сам	3	3
69	никто не	3	3
70	в рассказе	2	3
71	в одном	2	3
72	никогда не	2	2
73	о том	2	2
74	одна из	2	2
75	как в	3	2
76	и это	2	2
77	столь же	2	2
78	о жизни	2	2
79	все эти	3	2
80	поведение в	2	2
81	времени в	2	2
82	что она	2	2
83	говорит что	2	2
84	в глаза	2	2
85	дома и	2	2
86	так же	4	2
87	об этом	4	2
88	он и	2	2
89	я не	4	2
90	отнюдь не	3	2
91	один из	3	2
92	несмотря на	5	2
93	к жизни	5	2
94	все это	4	2
95	о его	2	2
96	что и	2	2
97	в году	9	2
98	не просто	2	2
99	только о	2	2
100	для искусства	2	2
101	в этой	4	2
102	с ним	3	2
103	который в	2	2
104	у него	6	2
