N	3gram	Bakhtin_Fr	VeschiIm
1	не может быть	5	24
2	содержит в себе	2	11
3	в том что	6	9
4	по сравнению с	2	7
5	с точки зрения	6	6
6	в то же	5	5
7	подобно тому как	2	5
8	не только в	5	5
9	о том что	3	4
10	дело в том	2	4
11	то же время	5	4
12	в отрыве от	2	3
13	можно сказать что	3	3
14	в собственном смысле	3	3
15	с одной стороны	2	3
16	и в то	2	3
17	как бы ни	2	2
18	как раз и	2	2
19	во всяком случае	2	2
20	в применении к	3	2
21	в основе своей	2	2
22	но все же	3	2
23	для того чтобы	2	2
24	в этом отношении	5	2
25	нужно сказать что	7	2
26	друг с другом	2	2
27	но даже и	2	2
28	и в частности	2	2
29	главным образом на	2	2
30	в свое время	5	2
31	в той или	5	2
