N	3gram	Bakhtin_KF	Myshleni
1	в том что	2	133
2	с точки зрения	10	89
3	по отношению к	22	42
4	не может быть	11	23
5	в этом смысле	3	18
6	тем не менее	2	12
7	и тот же	3	12
8	один и тот	3	12
9	на самом деле	3	9
10	в целом и	2	9
11	той или иной	2	8
12	включает в себя	2	7
13	вопрос о том	2	7
14	оба эти момента	2	6
15	в то же	2	5
16	и в этом	3	5
17	между тем как	3	4
18	и в своей	3	4
19	бы то ни	2	3
20	то ни было	2	3
21	в соответствии с	2	3
22	одна и та	2	3
23	и та же	2	3
24	и только в	3	3
25	во всем его	2	3
26	имеем в виду	2	3
27	мы говорим о	2	3
28	того или иного	3	3
29	то же время	2	3
30	во всех этих	2	2
31	то что я	2	2
32	только по отношению	2	2
33	ни в каком	2	2
34	может быть в	3	2
35	лишь постольку поскольку	2	2
36	и может быть	2	2
37	раз и навсегда	2	2
38	здесь мы имеем	2	2
39	в котором он	3	2
40	по отношению ко	4	2
