N	2gram	Berdyaev_N	Tvorches
1	и в	16	56
2	в то	2	30
3	не только	5	24
4	но в	2	24
5	и не	11	23
6	а в	2	23
7	как и	7	23
8	в этом	7	22
9	в том	8	21
10	что в	9	21
11	том что	2	19
12	он не	8	19
13	может быть	7	19
14	потому что	4	19
15	у него	2	18
16	то что	4	18
17	все это	5	17
18	и на	2	17
19	никогда не	6	16
20	прежде всего	4	16
21	как в	3	16
22	не может	16	16
23	но и	3	16
24	xix века	5	15
25	с его	6	15
26	но это	6	15
27	в мире	3	15
28	и с	2	15
29	это не	4	14
30	и даже	2	14
31	времени в	2	13
32	о том	4	13
33	а не	17	13
34	в своей	3	11
35	не в	6	10
36	так и	2	10
37	но не	2	10
38	как будто	2	10
39	в нем	5	9
40	и от	2	9
41	жизни в	3	9
42	наряду с	3	9
43	так же	2	8
44	в себе	2	8
45	человека и	3	8
46	в духе	3	8
47	не менее	4	8
48	еще не	3	8
49	хотя и	2	8
50	вместе с	2	8
51	что она	2	7
52	уже не	2	7
53	и все	4	6
54	место в	2	6
55	все эти	2	6
56	одна из	2	6
57	хотя бы	2	6
58	не имеют	2	5
59	в них	4	5
60	и это	2	5
61	быть может	4	5
62	значит что	4	5
63	в ее	3	5
64	мы не	2	5
65	более не	2	5
66	в истории	3	5
67	в наше	3	5
68	все время	2	5
69	в россии	3	5
70	с этим	2	5
71	мысли и	2	5
72	наше время	4	5
73	с другой	3	5
74	я не	2	5
75	не было	4	5
76	и потому	4	4
77	роль в	2	4
78	это и	2	4
79	как это	2	4
80	не знает	6	4
81	стремится к	3	4
82	что все	2	4
83	могут быть	2	4
84	же как	2	4
85	который в	2	4
86	в основе	3	4
87	и мы	4	4
88	себя в	2	4
89	и есть	10	4
90	времени и	2	4
91	такой же	2	4
92	не означает	3	4
93	зависит от	2	4
94	к жизни	3	4
95	связана с	2	4
96	не есть	3	3
97	бога и	3	3
98	к тому	3	3
99	в ней	5	3
100	другой стороны	2	3
101	совсем не	12	3
102	вот почему	2	3
103	сказать что	3	3
104	с ее	5	3
105	лишь в	6	3
106	во имя	15	3
107	на протяжении	2	3
108	в жизни	5	3
109	нет и	2	3
110	жизни не	3	3
111	и к	5	3
112	не существует	3	3
113	в русском	2	3
114	жизни и	8	3
115	и что	2	3
116	сама жизнь	2	2
117	свободы и	2	2
118	сильнее и	2	2
119	не во	4	2
120	должен быть	5	2
121	xviii века	2	2
122	с тем	3	2
123	она не	3	2
124	стремление к	2	2
125	большую роль	4	2
126	права на	2	2
127	не будет	7	2
128	xix век	2	2
129	духовной жизни	2	2
130	того чтобы	2	2
131	познания и	2	2
132	не знал	2	2
133	мира а	2	2
134	но она	2	2
135	не могли	2	2
136	всемирной истории	2	2
137	в эпоху	9	2
138	ли это	2	2
139	дня и	3	2
140	во всех	3	2
141	высшей степени	6	2
142	ни к	2	2
143	с одной	2	2
144	культуры и	7	2
145	и должно	2	2
146	не имеет	4	2
147	ни в	6	2
148	но для	2	2
149	с их	2	2
150	каждого человека	2	2
151	в высшей	6	2
152	не к	2	2
153	не значит	3	2
154	они считают	2	2
