N	2gram	Medvedev_V	Marksizm
1	точки зрения	3	69
2	может быть	23	64
3	и в	26	63
4	и не	20	55
5	как бы	5	53
6	не может	17	47
7	и его	6	41
8	в этом	29	39
9	таким образом	32	38
10	в процессе	17	33
11	в пределах	5	31
12	лишь в	2	30
13	не только	26	29
14	в нем	7	28
15	то же	10	28
16	но и	10	27
17	связи с	5	25
18	прежде всего	13	24
19	как и	7	24
20	в самом	4	24
21	так и	6	23
22	только в	8	23
23	в том	15	22
24	то что	7	22
25	а не	7	22
26	так сказать	2	20
27	для него	9	20
28	том что	8	19
29	не в	6	19
30	в его	15	19
31	если бы	3	19
32	но в	2	18
33	в ее	4	18
34	и для	2	18
35	в слове	3	18
36	вовсе не	3	18
37	все же	6	17
38	в то	6	16
39	по отношению	7	16
40	и как	3	16
41	что он	4	15
42	в связи	4	15
43	во всех	7	15
44	отношению к	7	15
45	отнюдь не	4	15
46	же время	5	15
47	хотя бы	20	14
48	так же	3	13
49	того чтобы	3	13
50	было бы	8	13
51	в своей	4	13
52	не является	5	13
53	что в	11	13
54	в результате	5	12
55	а в	3	12
56	идеологического творчества	2	12
57	для того	3	12
58	является не	4	12
59	он не	2	12
60	между тем	6	12
61	в ней	2	11
62	сих пор	2	11
63	не столько	2	11
64	все эти	8	11
65	и от	3	11
66	еще не	2	11
67	до сих	2	11
68	никогда не	5	10
69	его в	3	10
70	и потому	2	10
71	в каждом	2	10
72	в основном	7	10
73	во всяком	2	10
74	с его	4	10
75	сказать что	5	10
76	одна из	4	10
77	к этому	9	10
78	в своем	8	10
79	с другой	11	10
80	именно в	3	10
81	в себе	6	9
82	а как	2	9
83	это не	7	9
84	мы видели	3	9
85	одной из	2	9
86	к тому	5	9
87	же самое	2	9
88	перед нами	5	8
89	или иной	2	8
90	и ее	4	8
91	в науке	2	8
92	в форме	3	8
93	в их	5	8
94	мы знаем	3	8
95	с этим	3	8
96	тому что	7	8
97	что не	3	8
98	что и	3	8
99	другой стороны	8	8
100	и даже	2	8
101	и их	3	8
102	у нас	3	8
103	на то	2	8
104	не было	7	8
105	сводится к	3	8
106	у него	6	8
107	чем же	4	8
108	того что	3	7
109	по себе	2	7
110	могут быть	8	7
111	с ними	4	7
112	в качестве	12	7
113	в этой	4	7
114	бы в	3	7
115	и формы	2	7
116	следует что	2	7
117	далеко не	3	7
118	о том	10	7
119	в котором	3	7
120	он сам	2	7
121	как раз	4	7
122	на основе	5	7
123	в другом	2	6
124	в точном	2	6
125	в различных	2	6
126	он и	2	6
127	одной стороны	2	6
128	должны быть	2	6
129	все это	13	6
130	должна быть	2	6
131	этот процесс	3	6
132	с другими	2	6
133	из этих	7	6
134	же в	7	6
135	зависимости от	5	6
136	точном смысле	2	6
137	с одной	2	6
138	смысле слова	2	6
139	между ними	3	6
140	этот вопрос	3	6
141	в единстве	4	6
142	всяком случае	2	6
143	этом отношении	14	5
144	но как	3	5
145	о чем	2	5
146	в конце	3	5
147	от того	2	5
148	и у	2	5
149	понятно что	2	5
150	в виду	4	5
151	в особенности	2	5
152	не менее	2	5
153	вне его	2	5
154	или в	3	5
155	хотя и	2	5
156	да и	2	5
157	этой проблемы	3	5
158	должно быть	2	5
159	ее в	4	5
160	связана с	2	5
161	в целях	2	5
162	она не	3	5
163	формы и	2	5
164	но не	2	5
165	что такое	2	5
166	на язык	2	5
167	в одном	5	5
168	как на	3	5
169	вместе с	8	5
170	не могут	10	4
171	к этим	2	4
172	не прав	2	4
173	как он	3	4
174	в области	2	4
175	и к	3	4
176	всех других	3	4
177	что все	4	4
178	следующим образом	4	4
179	имеет свою	3	4
180	можно сказать	4	4
181	и он	3	4
182	в них	5	4
183	в зависимости	6	4
184	что они	3	4
185	нет и	3	4
186	во всей	2	4
187	как от	2	4
188	бы и	6	4
189	относится к	2	4
190	к его	2	4
191	стороны и	2	4
192	в которой	2	4
193	что она	2	4
194	только с	2	4
195	только что	4	4
196	одним из	5	4
197	же и	3	4
198	для его	4	4
199	но к	2	4
200	но для	2	4
201	из них	11	4
202	жизни и	3	4
203	это и	6	4
204	в работе	3	4
205	даже в	5	3
206	не о	2	3
207	еще и	2	3
208	от его	2	3
209	этого рода	2	3
210	художественной правды	2	3
211	действительности на	2	3
212	должен быть	4	3
213	роль в	4	3
214	в значительной	3	3
215	конце концов	2	3
216	в году	7	3
217	у них	2	3
218	тогда когда	2	3
219	и при	5	3
220	в целом	5	3
221	главным образом	7	3
222	или менее	6	3
223	с тем	4	3
224	они и	2	3
225	действительности и	7	3
226	как это	12	3
227	они не	2	3
228	более или	6	3
229	все его	2	3
