N	2gram	Medvedev_F	PoTuStor
1	может быть	30	17
2	и в	54	16
3	и пр	30	12
4	в этом	39	9
5	и только	5	9
6	таким образом	28	9
7	прежде всего	34	9
8	и с	17	8
9	точки зрения	21	8
10	совершенно не	5	8
11	не может	26	8
12	и его	27	8
13	сказать что	3	7
14	не только	14	7
15	с его	12	7
16	и это	4	6
17	с точки	17	6
18	конечно не	5	6
19	самом деле	12	6
20	и к	7	6
21	для него	9	6
22	при этом	14	6
23	ни в	3	5
24	все эти	12	5
25	что такое	2	5
26	как бы	10	5
27	еще не	6	5
28	в чем	2	5
29	в него	2	5
30	отношение к	4	5
31	как мы	10	4
32	и на	10	4
33	все это	11	4
34	на самом	8	4
35	его в	5	4
36	в его	30	4
37	и ее	15	4
38	но и	18	4
39	и не	34	4
40	и все	9	4
41	но в	9	4
42	с самого	2	4
43	в этой	10	4
44	с ее	7	4
45	и наконец	7	4
46	так как	4	4
47	и их	13	4
48	и может	6	4
49	только в	6	4
50	в нем	25	4
51	хотя бы	10	4
52	можно сказать	2	4
53	так и	24	4
54	для всех	2	4
55	самого начала	2	4
56	отнюдь не	13	4
57	и даже	7	4
58	едва ли	3	3
59	что в	10	3
60	и притом	2	3
61	даже не	2	3
62	жизни и	10	3
63	мы полагаем	3	3
64	и как	6	3
65	и потому	9	3
66	тех же	2	3
67	а в	11	3
68	в том	17	3
69	их в	2	3
70	и вот	2	3
71	в общем	8	3
72	с другими	11	3
73	между ними	3	3
74	в области	6	3
75	до сих	7	3
76	в основном	3	3
77	только на	8	3
78	большинстве случаев	5	3
79	в большинстве	6	3
80	в этих	3	3
81	пр и	4	3
82	отношения к	6	3
83	с их	2	3
84	как это	8	3
85	то что	14	3
86	только как	3	3
87	во всех	9	3
88	могут быть	7	3
89	полагаем что	3	3
90	сих пор	7	3
91	на язык	5	3
92	всяком случае	6	3
93	вместе с	8	3
94	учение о	4	3
95	в одном	2	3
96	этом смысле	3	3
97	и др	8	3
98	на этом	2	3
99	мы знаем	3	3
100	во всяком	6	3
101	том что	3	3
102	в основе	7	3
103	один из	4	2
104	никогда не	6	2
105	все остальные	2	2
106	почти совершенно	2	2
107	в них	4	2
108	с историей	2	2
109	не можем	3	2
110	в жизни	3	2
111	и действительно	2	2
112	для этого	6	2
113	же как	3	2
114	и для	5	2
115	и содержание	2	2
116	совсем не	2	2
117	и этот	2	2
118	что не	4	2
119	нам кажется	2	2
120	не имеющие	2	2
121	аналогии с	4	2
122	и по	3	2
123	а на	2	2
124	что и	10	2
125	не менее	12	2
126	ее в	3	2
127	было бы	10	2
128	не могут	8	2
129	в систему	5	2
130	сводится к	6	2
131	и других	4	2
132	то же	16	2
133	они не	7	2
134	с этим	6	2
135	как и	18	2
136	что он	8	2
137	так же	5	2
138	и исключительно	2	2
139	и лишь	4	2
140	говорить о	4	2
141	но ведь	4	2
142	в науке	2	2
143	в своей	16	2
144	мы не	6	2
145	ни было	2	2
146	из этих	4	2
147	но как	2	2
148	в самом	17	2
149	знаем что	2	2
150	с этой	4	2
151	по аналогии	5	2
152	не на	3	2
153	в частности	4	2
154	войти в	2	2
155	и вся	2	2
156	он не	8	2
157	это последнее	3	2
158	за счет	4	2
159	во всей	4	2
160	если мы	5	2
161	со всеми	3	2
162	как с	2	2
163	и о	3	2
164	оно не	6	2
165	не есть	4	2
166	к другим	4	2
167	в душе	2	2
168	за пределы	2	2
169	к этому	3	2
170	что на	3	2
171	его целом	8	2
172	в развитии	2	2
173	нет и	2	2
174	и через	2	2
175	только и	7	2
176	с помощью	13	2
177	связанных с	2	2
178	в пределах	13	2
179	что оно	4	2
180	и этим	2	2
181	в этот	2	2
182	почти не	2	2
183	не будет	2	2
184	на основе	6	2
185	с ним	3	2
186	характерно для	2	2
187	но это	4	2
