N	2gram	Vygotskiy_	Marksizm
1	точки зрения	39	69
2	может быть	20	64
3	и в	47	63
4	и не	27	55
5	как бы	13	53
6	не может	23	47
7	с точки	31	46
8	и его	14	41
9	в этом	47	39
10	таким образом	38	38
11	в процессе	12	33
12	как мы	24	32
13	языка и	6	31
14	в пределах	3	31
15	лишь в	3	30
16	не только	36	29
17	речи в	31	29
18	в нем	6	28
19	то же	16	28
20	но и	19	27
21	самом деле	6	25
22	речи и	36	25
23	связи с	4	25
24	прежде всего	9	24
25	как и	19	24
26	в самом	15	24
27	так и	8	23
28	только в	24	23
29	в том	38	22
30	то что	40	22
31	а не	7	22
32	при этом	4	20
33	для него	6	20
34	если мы	6	20
35	том что	28	19
36	не в	7	19
37	в его	7	19
38	если бы	8	19
39	но в	9	18
40	в ее	7	18
41	и для	5	18
42	внутренней речи	78	18
43	языка в	2	18
44	в слове	11	18
45	вовсе не	3	18
46	все же	7	17
47	в сущности	16	17
48	в то	10	16
49	по отношению	10	16
50	и как	7	16
51	слова и	10	16
52	речь в	8	16
53	что он	13	15
54	во всех	9	15
55	отношению к	9	15
56	отнюдь не	2	15
57	с помощью	18	15
58	в данном	7	14
59	в смысле	9	14
60	ничего не	2	13
61	так же	26	13
62	мы не	10	13
63	того чтобы	26	13
64	было бы	12	13
65	в своей	4	13
66	речи мы	7	13
67	не является	4	13
68	и здесь	5	13
69	слова в	7	13
70	в направлении	6	13
71	что в	23	13
72	выражение в	6	12
73	в результате	3	12
74	а в	3	12
75	того же	7	12
76	в основе	5	12
77	в высшей	3	12
78	для того	24	12
79	является не	4	12
80	он не	5	12
81	между тем	2	12
82	на самом	3	11
83	друг друга	9	11
84	слова как	5	11
85	как в	7	11
86	и все	5	11
87	к нему	5	11
88	и на	4	11
89	в ней	5	11
90	сих пор	6	11
91	все эти	7	11
92	и от	6	11
93	так как	25	11
94	еще не	5	11
95	и того	3	11
96	и что	14	11
97	мы уже	5	11
98	до сих	6	11
99	никогда не	7	10
100	его в	7	10
101	и потому	3	10
102	в каждом	3	10
103	в основном	4	10
104	отличие от	4	10
105	самого начала	13	10
106	здесь мы	2	10
107	более того	2	10
108	с самого	13	10
109	здесь в	2	10
110	во всяком	2	10
111	сказать что	18	10
112	одна из	2	10
113	к этому	2	10
114	в своем	3	10
115	совершенно не	2	10
116	в отличие	4	10
117	с другой	7	10
118	именно в	9	10
119	конечно не	2	10
120	в таком	2	10
121	в большинстве	2	10
122	и следовательно	8	9
123	в себе	14	9
124	одного и	3	9
125	это не	6	9
126	только на	5	9
127	мы видели	10	9
128	одной из	4	9
129	и это	2	9
130	к тому	13	9
131	большинстве случаев	2	9
132	внутренняя речь	17	9
133	в нашем	6	9
134	рядом с	2	9
135	что это	7	9
136	не имеет	6	9
137	отношении к	4	9
138	и более	2	9
139	ни в	3	9
140	точка зрения	2	9
141	же самое	12	9
142	в каком	2	8
143	в отношении	9	8
144	перед нами	3	8
145	или иной	2	8
146	и ее	3	8
147	направлении к	3	8
148	и т.д	4	8
149	в их	4	8
150	смысле этого	4	8
151	мы знаем	5	8
152	с этим	5	8
153	тому что	14	8
154	на этой	7	8
155	что не	2	8
156	что и	4	8
157	этого слова	5	8
158	другой стороны	3	8
159	за пределы	2	8
160	мысли и	13	8
161	и даже	3	8
162	мы можем	7	8
163	и их	7	8
164	у нас	3	8
165	на то	5	8
166	в свою	3	8
167	и с	5	8
168	речь и	5	8
169	но что	2	8
170	столь же	2	8
171	к другому	5	8
172	у него	2	8
173	ясно что	4	8
174	до конца	8	7
175	речи как	9	7
176	свою очередь	3	7
177	может стать	2	7
178	того что	27	7
179	по себе	5	7
180	могут быть	7	7
181	там где	7	7
182	в качестве	9	7
183	в этой	7	7
184	нашей работы	3	7
185	речи а	5	7
186	в начале	6	7
187	бы в	7	7
188	в этих	2	7
189	и значение	5	7
190	о том	5	7
191	в котором	6	7
192	оно может	2	7
193	той же	13	7
194	значения слова	10	7
195	он сам	2	7
196	как раз	6	7
197	на основе	5	7
198	не есть	4	6
199	вопрос о	9	6
200	мы должны	7	6
201	она может	2	6
202	для всего	2	6
203	в другом	3	6
204	является в	7	6
205	для нашей	2	6
206	и значением	6	6
207	одной стороны	7	6
208	что же	3	6
209	в какой	6	6
210	должны быть	5	6
211	все это	5	6
212	с ее	2	6
213	слово и	10	6
214	с другими	5	6
215	из этих	6	6
216	как оно	2	6
217	из важнейших	4	6
218	по мере	10	6
219	зависимости от	6	6
220	язык в	2	6
221	из одного	2	6
222	от одного	3	6
223	с одной	7	6
224	между ними	8	6
225	входит в	3	6
226	этот вопрос	2	6
227	в той	7	6
228	тем же	8	6
229	этом отношении	7	5
230	значения в	2	5
231	но как	3	5
232	о чем	8	5
233	в конце	5	5
234	от того	6	5
235	понятно что	3	5
236	для других	15	5
237	в виду	5	5
238	и тем	10	5
239	точку зрения	4	5
240	связано с	4	5
241	форм и	5	5
242	совершается в	5	5
243	то в	4	5
244	от этого	3	5
245	не менее	6	5
246	или в	2	5
247	как слово	2	5
248	той или	2	5
249	в первом	6	5
250	в двух	2	5
251	этом случае	15	5
252	что слово	2	5
253	хотя и	4	5
254	все время	3	5
255	необходимо чтобы	2	5
256	должно быть	3	5
257	менее всего	3	5
258	ее в	11	5
259	связана с	4	5
260	следовательно не	2	5
261	нами в	6	5
262	она не	7	5
263	она является	2	5
264	но не	13	5
265	значение в	3	5
266	и является	5	5
267	для себя	24	5
268	что такое	2	5
269	мы ни	2	5
270	в одном	4	5
271	связи между	11	5
272	как на	8	5
273	речи на	2	5
274	вместе с	19	5
275	слова но	3	4
276	не могут	9	4
277	его к	2	4
278	нуждается в	5	4
279	в одной	6	4
280	все те	2	4
281	выражения и	2	4
282	что здесь	2	4
283	едва ли	5	4
284	но именно	3	4
285	в области	5	4
286	так что	8	4
287	и к	11	4
288	что все	6	4
289	можно сказать	9	4
290	развития языка	2	4
291	одного из	2	4
292	в определенном	2	4
293	находит свое	3	4
294	и он	4	4
295	в них	3	4
296	к пониманию	4	4
297	между двумя	5	4
298	разрыв между	4	4
299	в зависимости	6	4
300	и до	3	4
301	во внутренней	4	4
302	что они	11	4
303	нет и	4	4
304	во всей	3	4
305	слов и	6	4
306	относится к	5	4
307	и то	10	4
308	к его	3	4
309	речи не	7	4
310	психологии в	3	4
311	первом случае	5	4
312	стороны и	6	4
313	к другой	6	4
314	в которой	16	4
315	что она	8	4
316	только с	2	4
317	говорит что	3	4
318	переход от	5	4
319	выражения в	3	4
320	исходит из	2	4
321	целый ряд	6	4
322	только что	7	4
323	одним из	3	4
324	со всеми	2	4
325	не знает	3	4
326	его значение	2	4
327	свое выражение	8	4
328	но все	2	4
329	для его	2	4
330	языка с	2	4
331	к целому	2	4
332	но для	2	4
333	значения и	3	4
334	из них	2	4
335	мог бы	6	4
336	как она	6	4
337	уже в	3	4
338	несмотря на	2	4
339	речью и	3	4
340	в других	2	4
341	от нее	3	4
342	из этого	4	4
343	и особенно	2	4
344	это и	7	4
345	если же	2	4
346	и речи	19	4
347	тем что	14	4
348	даже в	2	3
349	все более	2	3
350	от его	2	3
351	находятся в	2	3
352	были бы	5	3
353	в действительности	3	3
354	в живой	2	3
355	между этими	3	3
356	ситуации и	3	3
357	является как	2	3
358	само собой	2	3
359	только и	5	3
360	по своей	12	3
361	но если	5	3
362	как к	4	3
363	в значительной	3	3
364	ведь это	2	3
365	у них	2	3
366	тогда когда	12	3
367	и при	2	3
368	в виде	2	3
369	в целом	7	3
370	мы говорили	3	3
371	ко всем	6	3
372	с тем	8	3
373	они и	2	3
374	как это	7	3
375	они не	2	3
376	потому что	26	3
377	том числе	2	3
378	и непосредственно	3	3
379	по самой	6	3
380	во втором	5	3
381	благодаря этому	3	3
382	ответ на	3	3
383	что оно	9	3
384	между собой	15	3
385	одной и	5	3
386	себя от	2	3
387	мы видим	10	3
388	одним словом	2	3
389	речи может	2	3
390	речи о	4	3
391	и по	6	3
392	обстоит дело	2	3
393	и тогда	3	3
394	есть только	3	3
395	значение и	2	3
396	речи из	2	3
397	имеет место	4	3
398	родного языка	18	3
399	и вообще	3	3
400	числе и	2	3
401	одно и	3	3
402	мысли в	12	3
403	языке и	2	3
404	в нашей	4	3
405	к двум	2	3
406	но это	4	3
407	можно было	7	3
408	речь становится	2	3
409	с их	2	3
410	речи но	12	3
411	в этот	3	3
412	тем не	4	3
413	друг с	6	3
414	границы между	2	3
415	и той	5	3
416	мы встречаем	2	3
417	должен был	2	3
418	значение не	2	3
419	его и	2	3
420	и о	4	3
421	всем этим	3	3
422	не могло	3	3
423	не с	3	3
424	на этот	2	3
425	что делает	2	3
426	действительности но	2	3
427	для каждого	2	3
428	также и	2	3
429	прежде чем	3	3
430	с другом	6	3
431	в своих	2	3
432	речи при	3	3
433	когда он	2	3
434	зрения самого	2	3
435	в другой	4	3
436	в которых	3	3
437	а по	4	3
438	приводит к	10	3
439	из которых	3	3
440	еще в	3	3
441	совпадает с	5	3
442	однако не	2	3
443	резко и	2	3
444	учение о	3	3
445	находится в	3	3
446	речи или	3	3
447	и значения	3	3
448	что эта	7	3
449	что было	2	3
450	и есть	4	3
451	и только	7	3
452	мы остановимся	4	3
453	в живом	3	3
454	эта проблема	2	3
455	из основных	3	3
456	с ним	5	3
457	момент в	3	3
458	этих двух	4	3
459	одним и	2	3
460	того как	6	3
461	и других	5	3
462	в речь	2	3
463	в системе	3	3
464	тем самым	14	2
465	между которыми	2	2
466	из всех	5	2
467	сохраняет свою	2	2
468	идет о	3	2
469	которой она	3	2
470	от общего	2	2
471	первого парня	2	2
472	остается в	2	2
473	внешней речи	18	2
474	не совпадает	5	2
475	для нее	3	2
476	образом в	5	2
477	одну из	2	2
478	противоречие между	3	2
479	в состоянии	4	2
480	восприятия и	3	2
481	в понимании	2	2
482	до известной	2	2
483	его значения	3	2
484	и притом	4	2
