N	2gram	Potebnia_M	StatiiOP
1	и в	58	103
2	в том	38	89
3	том что	21	77
4	в этом	18	76
5	что в	34	74
6	не только	32	60
7	и т	10	51
8	о том	6	47
9	но и	26	46
10	то что	24	44
11	что он	5	42
12	в его	7	42
13	и не	34	41
14	может быть	47	38
15	было бы	21	32
16	т д	6	32
17	в этой	3	31
18	вовсе не	13	31
19	все это	3	29
20	тем что	15	29
21	таким образом	21	28
22	в г	2	28
23	а в	11	27
24	а не	38	27
25	но в	12	26
26	что это	5	25
27	так и	17	25
28	и его	7	24
29	все же	11	23
30	не в	23	23
31	так что	23	23
32	точки зрения	8	23
33	потому что	89	23
34	того что	15	22
35	прежде всего	8	22
36	для того	8	22
37	у нас	3	22
38	в которой	5	22
39	как в	18	22
40	того чтобы	4	21
41	это не	10	20
42	до сих	5	20
43	т п	6	19
44	в то	6	19
45	сих пор	5	19
46	в своей	3	19
47	только в	36	19
48	не может	30	18
49	с другой	13	18
50	в котором	5	18
51	он не	4	18
52	самом деле	2	17
53	между прочим	5	17
54	как на	5	17
55	в самом	5	17
56	как бы	12	17
57	с этим	11	16
58	сказать что	5	16
59	в ней	9	16
60	если бы	23	16
61	в этих	10	16
62	с тем	9	15
63	как и	16	15
64	для него	13	15
65	например в	4	15
66	по поводу	7	15
67	другой стороны	7	15
68	из этих	8	15
69	и на	8	15
70	у него	3	15
71	была бы	3	14
72	так например	5	14
73	к тому	5	14
74	между тем	7	14
75	то же	13	14
76	в течение	2	14
77	но все	4	14
78	с точки	4	14
79	и что	13	14
80	в своем	3	13
81	со стороны	11	13
82	что касается	2	13
83	тому что	4	13
84	но это	7	13
85	в нем	26	13
86	во всяком	9	13
87	дело в	3	13
88	в языке	36	13
89	именно в	2	13
90	из них	2	13
91	всяком случае	7	13
92	жизни и	3	13
93	вместе с	12	13
94	не менее	10	12
95	что они	6	12
96	так как	29	12
97	того времени	2	12
98	как например	4	12
99	хотя бы	4	12
100	что у	2	12
101	ни в	2	12
102	в своих	4	12
103	никогда не	7	11
104	вопрос о	5	11
105	и с	3	11
106	в другом	3	11
107	в них	7	11
108	все эти	3	11
109	и по	8	11
110	того как	12	11
111	это было	3	11
112	на то	5	11
113	не было	7	11
114	на самом	2	10
115	в каком	7	10
116	так же	7	10
117	ответ на	2	10
118	в виду	2	10
119	а как	3	10
120	на вопрос	3	10
121	ничего не	2	10
122	связь с	2	10
123	не столько	3	10
124	в целом	3	10
125	что и	16	10
126	в истории	8	10
127	в начале	2	10
128	во всех	12	10
129	но не	19	10
130	что такое	3	10
131	же время	4	10
132	но он	3	10
133	в каждом	6	9
134	в чем	6	9
135	что же	3	9
136	несмотря на	5	9
137	место в	3	9
138	по этому	2	9
139	там где	8	9
140	во время	5	9
141	вряд ли	2	9
142	в одном	13	9
143	с этой	3	9
144	времени и	3	9
145	и для	8	9
146	для нас	29	9
147	что мы	11	9
148	внимание на	3	9
149	и тем	5	9
150	и это	3	9
151	при помощи	2	8
152	могут быть	17	8
153	к которому	5	8
154	в их	3	8
155	той же	3	8
156	в какой	2	8
157	по мнению	4	8
158	связи с	6	8
159	к этому	3	8
160	что она	3	8
161	тем не	11	8
162	и даже	4	8
163	одним из	2	8
164	такой же	4	8
165	и о	3	8
166	заключается в	3	8
167	и более	3	8
168	не имеет	9	8
169	еще более	2	8
170	в которых	2	8
171	по его	7	8
172	том как	6	7
173	уже в	5	7
174	что все	4	7
175	в эту	2	7
176	того же	13	7
177	во втором	6	7
178	тем более	2	7
179	в ее	2	7
180	с самого	5	7
181	не все	3	7
182	и то	4	7
183	с которыми	3	7
184	то в	6	7
185	мы находим	3	7
186	лишь в	2	7
187	еще не	9	7
188	отношению к	13	7
189	на этот	2	7
190	что для	5	7
191	по себе	24	7
192	из этого	2	7
193	то время	3	7
194	но с	3	7
