N	2gram	Vygotskiy_	Russkaja
1	не может	15	22
2	и не	19	19
3	в том	50	17
4	в этом	30	17
5	с другом	6	14
6	и в	55	14
7	друг с	6	14
8	то что	69	13
9	точки зрения	15	11
10	то же	16	11
11	таким образом	35	11
12	в то	6	10
13	но и	16	10
14	же время	2	10
15	не только	24	9
16	том что	46	9
17	может быть	34	9
18	в себе	13	9
19	с точки	5	9
20	во всяком	2	9
21	того чтобы	43	8
22	как на	15	8
23	прежде всего	6	8
24	и с	3	7
25	к тому	12	7
26	о том	24	7
27	в данном	4	7
28	мы должны	10	7
29	стремление к	2	7
30	и если	13	7
31	не будет	3	7
32	самом деле	17	7
33	с тем	10	6
34	на самом	9	6
35	и для	13	6
36	к которой	4	6
37	в своих	9	6
38	и к	5	6
39	если бы	21	6
40	все это	8	6
41	для того	45	6
42	и при	3	6
43	что он	30	6
44	признать что	4	6
45	в своем	12	6
46	для него	5	6
47	вопрос о	6	5
48	или иной	2	5
49	а в	7	5
50	на то	27	5
51	было бы	15	5
52	хотя бы	5	5
53	из которых	5	5
54	между собой	2	5
55	и на	12	5
56	потому что	48	5
57	при этом	11	5
58	в нем	13	5
59	он должен	8	5
60	в своей	8	5
61	себя и	3	5
62	конечно не	3	5
63	только в	12	5
64	никогда не	15	5
65	и только	5	5
66	он не	10	5
67	сих пор	9	5
68	между тем	4	5
69	во всех	6	5
70	по существу	4	5
71	до сих	9	5
72	и то	12	4
73	что в	43	4
74	но не	9	4
75	смотреть на	3	4
76	его в	2	4
77	все же	11	4
78	себя в	4	4
79	не могут	4	4
80	к этой	2	4
81	не в	12	4
82	как и	9	4
83	ли это	3	4
84	как бы	33	4
85	можно было	6	4
86	идет речь	3	4
87	приводит к	2	4
88	так как	20	4
89	жизни и	8	4
90	в его	8	4
91	со стороны	3	4
92	в их	3	4
93	когда они	2	4
94	во всем	3	4
95	в этой	15	4
96	в совершенно	6	4
97	себе и	4	4
98	вместе с	16	4
99	от того	6	4
100	в корне	2	4
101	одной из	2	3
102	данном случае	4	3
103	да и	4	3
104	все они	2	3
105	одна из	6	3
106	то это	6	3
107	том чтобы	7	3
108	для этого	12	3
109	о котором	9	3
110	и этот	2	3
111	что все	12	3
112	что это	15	3
113	лучшем случае	3	3
114	о которых	3	3
115	но мы	4	3
116	этом случае	2	3
117	что для	6	3
118	на том	4	3
119	в сознании	2	3
120	и сейчас	5	3
121	именно в	9	3
122	из этих	4	3
123	ни одна	2	3
124	должно быть	6	3
125	не есть	4	3
126	всех этих	3	3
127	и потому	8	3
128	что оно	12	3
129	в другом	3	3
130	главным образом	3	3
131	в конце	10	3
132	из них	7	3
133	но если	3	3
134	ко всем	2	3
135	в самом	18	3
136	и как	10	3
137	в лучшем	3	3
138	несмотря на	5	3
139	знаем что	5	3
140	так чтобы	2	3
141	что и	11	3
142	конце концов	6	3
143	или в	6	3
144	сводится к	7	3
145	из этого	7	3
146	и во	2	3
147	той или	2	3
148	связи с	2	3
149	еще не	6	3
150	в виде	3	3
151	того что	12	3
152	в качестве	2	3
153	что они	11	3
154	в положении	2	3
155	не было	2	3
156	и ни	4	3
157	и т	12	3
158	что может	2	3
159	мы говорили	4	3
160	тем что	8	3
161	согласиться с	2	2
162	и о	5	2
163	тот факт	6	2
164	в течение	2	2
165	и от	2	2
166	чтобы понять	3	2
167	не так	4	2
168	но она	3	2
169	с этим	4	2
170	были бы	3	2
171	ее в	2	2
172	тому что	11	2
173	указывает на	8	2
174	только с	3	2
175	но в	7	2
176	ни в	5	2
177	в котором	5	2
178	что такое	2	2
179	так же	19	2
180	их в	4	2
181	от этой	3	2
182	от друга	2	2
183	сама по	3	2
184	это в	5	2
185	или от	2	2
186	состоит в	3	2
187	даже и	2	2
188	больше чем	3	2
189	в ней	5	2
190	на это	3	2
191	этот вопрос	6	2
192	в некоторых	2	2
193	в результате	6	2
194	бы для	2	2
195	по отношению	3	2
196	к такому	3	2
197	отличается от	4	2
198	если не	2	2
199	естественно что	2	2
200	в силу	3	2
201	и даже	4	2
202	а не	16	2
203	и тот	2	2
204	для нас	9	2
205	по этому	5	2
206	представить себе	2	2
207	по себе	13	2
208	от него	5	2
209	мы можем	8	2
210	не можем	8	2
211	нисколько не	3	2
212	целый ряд	5	2
213	стоит только	7	2
214	бы его	3	2
215	если только	4	2
216	и тем	6	2
217	по самому	2	2
218	и является	2	2
219	и вот	7	2
220	и что	45	2
221	но это	2	2
222	что с	8	2
223	это только	5	2
224	сделать это	3	2
225	все эти	5	2
226	совершенно не	11	2
227	только для	2	2
228	и наконец	5	2
229	а с	7	2
230	совершенно очевидно	6	2
231	не просто	6	2
232	в этих	3	2
233	друг от	2	2
234	только на	4	2
235	в частности	6	2
236	факт что	8	2
237	в таком	4	2
238	и есть	7	2
239	но совершенно	3	2
240	так что	8	2
241	во время	4	2
242	как будто	7	2
243	противоречие с	2	2
244	именно на	6	2
245	должна быть	2	2
246	его и	2	2
247	отношения к	2	2
248	в области	2	2
249	если же	3	2
250	за то	3	2
251	от нас	2	2
252	это есть	3	2
253	с ним	4	2
254	быть и	2	2
255	в глазах	2	2
256	у него	9	2
257	мы уже	7	2
258	том и	3	2
259	их не	2	2
260	ясно что	10	2
