N	3gram	Voloshinov	Psycholo
1	в том что	4	78
2	то же самое	2	31
3	с точки зрения	2	29
4	с одной стороны	2	28
5	до сих пор	3	23
6	не может быть	7	23
7	с другой стороны	2	20
8	на самом деле	2	17
9	в зависимости от	2	15
10	этой точки зрения	3	12
11	мы никогда не	2	11
12	в художественном произведении	3	11
13	в данном случае	2	9
14	и то же	2	8
15	можно сказать что	5	7
16	мы все время	2	7
17	одно и то	2	7
18	тем не менее	3	6
19	как если бы	4	5
20	в каком отношении	2	5
21	в жизни и	2	5
22	имеет в виду	3	4
23	в настоящее время	2	4
24	и не может	3	4
25	формы и содержания	2	4
26	бы то ни	3	3
27	может быть и	3	3
28	художественного произведения и	2	3
29	это не так	2	3
30	в отношении к	2	3
31	по отношению к	11	3
32	смысл и значение	2	3
33	дело в том	4	3
34	то ни было	3	2
35	имеем в виду	2	2
36	в такой же	2	2
37	одной стороны и	2	2
