N	2gram	Vygotskiy_	Literetu
1	а не	7	50
2	и не	27	47
3	не только	36	46
4	и в	47	44
5	может быть	20	43
6	при этом	4	41
7	но и	19	41
8	в том	38	39
9	в этом	47	38
10	том что	28	32
11	в частности	4	30
12	то что	40	29
13	в качестве	9	27
14	состоит в	3	26
15	то же	16	26
16	как и	19	23
17	в то	10	23
18	не в	7	22
19	так и	8	22
20	того что	27	22
21	не может	23	22
22	в себе	14	20
23	прежде всего	9	19
24	как бы	13	18
25	точки зрения	39	17
26	в его	7	17
27	с другой	7	17
28	в этой	7	16
29	тем самым	14	15
30	не менее	6	15
31	в целом	7	15
32	я не	3	15
33	только в	24	15
34	по отношению	10	14
35	что он	13	14
36	и даже	3	14
37	в своем	3	13
38	как это	7	13
39	с одной	7	13
40	но не	13	13
41	и его	14	13
42	в данном	7	12
43	в своей	4	12
44	еще не	5	12
45	одним из	3	12
46	отношению к	9	12
47	о том	5	12
48	одной стороны	7	12
49	никогда не	7	11
50	данном случае	5	11
51	это не	6	11
52	в другом	3	11
53	еще в	3	11
54	отличие от	4	11
55	как в	7	11
56	в отличие	4	11
57	а в	3	11
58	в конечном	2	11
59	столь же	2	11
60	в основе	5	11
61	вместе с	19	11
62	даже в	2	10
63	этом отношении	7	10
64	для себя	24	10
65	в области	5	10
66	что в	23	10
67	отнюдь не	2	10
68	в ее	7	10
69	конечном счете	2	10
70	из них	2	10
71	и на	4	10
72	потому что	26	10
73	одно из	6	9
74	к тому	13	9
75	один из	3	9
76	связи с	4	9
77	в начале	6	9
78	лишь в	3	9
79	с этой	5	9
80	и т.д	4	9
81	представляет собой	23	9
82	одна из	2	8
83	в конце	5	8
84	едва ли	5	8
85	ли не	3	8
86	все же	7	8
87	по существу	2	8
88	но в	9	8
89	того же	7	8
90	уже в	3	8
91	что не	2	8
92	для него	6	8
93	исходит из	2	8
94	и как	7	8
95	слова и	10	8
96	тем что	14	8
97	в своих	2	8
98	той же	13	8
99	с точки	31	8
100	как раз	6	8
101	до конца	8	7
102	из того	7	7
103	для всех	2	7
104	в их	4	7
105	по своей	12	7
106	наконец в	3	7
107	друг друга	9	7
108	и тем	10	7
109	и других	5	7
110	для этого	4	7
111	другой стороны	3	7
112	и для	5	7
113	как правило	2	7
114	у нас	3	7
115	именно в	9	7
116	в самом	15	7
117	и с	5	7
118	в одном	4	7
119	тому как	2	7
120	в случае	5	7
121	в нем	6	7
122	он не	5	7
123	тому же	2	7
124	на фоне	3	7
125	в сфере	8	7
126	его в	7	6
127	в ситуации	7	6
128	что ему	3	6
129	в виду	5	6
130	казалось бы	4	6
131	самом деле	6	6
132	самим собой	2	6
133	одного из	2	6
134	и он	4	6
135	а затем	2	6
136	было бы	12	6
137	например в	5	6
138	поэзии и	2	6
139	и то	10	6
140	то в	4	6
141	то и	5	6
142	во всех	9	6
143	в каждом	3	6
144	с ее	2	6
145	и наконец	4	6
146	подобно тому	2	6
147	в ней	5	6
148	том числе	2	6
149	и только	7	6
150	у него	2	6
151	как на	8	6
152	в слове	11	6
153	тем же	8	6
154	все более	2	5
155	или иной	2	5
156	идет о	3	5
157	с собой	3	5
158	так как	25	5
159	этот путь	3	5
160	так что	8	5
161	он сам	2	5
162	не знает	3	5
163	всего в	2	5
164	более того	2	5
165	к этой	2	5
166	во втором	5	5
167	между тем	2	5
168	несмотря на	2	5
169	этой точки	4	5
170	что и	4	5
171	себя и	2	5
172	в сущности	16	5
173	по выражению	2	5
174	в равной	2	5
175	должно быть	3	5
176	мы не	10	5
177	тем не	4	5
178	в уме	4	5
179	в силу	21	5
180	не с	3	5
181	в себя	4	5
182	в нашем	6	5
183	и к	11	5
184	деятельности в	3	5
185	но с	4	5
186	однако не	2	5
187	входит в	3	4
188	в свою	3	4
189	очевидно что	6	4
190	себе и	2	4
191	в каждой	4	4
192	для нас	4	4
193	нуждается в	5	4
194	не является	4	4
195	как к	4	4
196	все время	3	4
197	здесь как	2	4
198	только на	5	4
199	с тем	8	4
200	и все	5	4
201	на том	2	4
202	на его	3	4
203	могли бы	10	4
204	ту же	4	4
205	могут быть	7	4
206	в них	3	4
207	во всей	3	4
208	хотя и	4	4
209	как мы	24	4
210	во всяком	2	4
211	мышления и	16	4
212	одной из	4	4
213	но это	4	4
214	за пределы	2	4
215	к этому	2	4
216	во второй	5	4
217	для того	24	4
218	совершенно не	2	4
219	никем не	2	4
220	такой же	4	4
221	со всеми	2	4
222	что его	2	4
223	в пределах	3	4
224	можно сказать	9	4
225	на то	5	4
226	а по	4	4
227	приводит к	10	4
228	на этом	4	4
229	не оставляет	2	4
230	ко всему	2	4
231	вовсе не	3	4
232	из этого	4	4
233	и что	14	4
234	что было	2	4
235	таким образом	38	4
236	и есть	4	4
237	не мог	2	4
238	отношения к	5	4
239	о которой	2	4
240	оказывается не	3	4
241	при котором	2	4
242	на самом	3	3
243	вопрос о	9	3
244	ничего не	2	3
245	в действительности	3	3
246	и потому	3	3
247	для его	2	3
248	так же	26	3
249	но как	3	3
250	о чем	8	3
251	как таковое	2	3
252	по себе	5	3
253	одну из	2	3
254	в отношении	9	3
255	не раз	2	3
256	отношение к	8	3
257	за счет	4	3
258	есть не	3	3
259	было сказано	3	3
260	из тех	2	3
261	в первом	6	3
262	в разговоре	2	3
263	от слова	7	3
264	в ходе	14	3
265	том же	7	3
266	а с	3	3
267	себе в	5	3
268	и о	4	3
269	стороны и	6	3
270	в сознании	11	3
271	они не	2	3
272	но только	5	3
273	той или	2	3
274	говорится в	4	3
275	что же	3	3
276	там где	7	3
277	же как	14	3
278	того чтобы	26	3
279	числе и	2	3
280	и до	3	3
281	все эти	7	3
282	и тогда	3	3
283	во время	2	3
284	свою очередь	3	3
285	ее в	11	3
286	еще один	2	3
287	относится к	5	3
288	если в	6	3
289	и от	6	3
290	к предмету	6	3
291	можно было	7	3
292	в первой	3	3
293	с их	2	3
294	с ней	3	3
295	о своем	2	3
296	мысли и	13	3
297	в этот	3	3
298	если бы	8	3
299	не удивительно	3	3
300	также и	2	3
301	в этих	2	3
302	все равно	2	3
303	не по	7	3
304	и состоит	3	3
305	речь в	8	3
306	отношении к	4	3
307	не могло	3	3
308	в какой	6	3
309	к объекту	14	3
310	что для	3	3
311	за ним	3	3
312	не имеет	6	3
313	и является	5	3
314	в чем	5	3
315	что такое	2	3
316	когда он	2	3
317	не есть	4	3
318	отношения между	8	3
319	из которых	3	3
320	к общему	4	3
321	все что	7	3
322	и того	3	3
323	мы в	3	3
324	же самое	12	3
325	с ним	5	3
326	мы и	5	3
327	самому себе	2	2
328	перед нами	3	2
329	не станем	3	2
330	не для	2	2
331	а и	2	2
332	для нее	3	2
333	который по	2	2
334	в понимании	2	2
335	и притом	4	2
336	не видит	2	2
337	как феномен	2	2
338	и вместе	2	2
339	всю свою	2	2
340	остается в	2	2
341	ведь это	2	2
342	и столь	3	2
343	это и	7	2
344	подобного рода	2	2
345	в школе	5	2
346	о природе	9	2
347	нас к	10	2
348	если оно	2	2
349	в любом	2	2
350	у них	2	2
351	и при	2	2
352	самом начале	5	2
353	ее развития	2	2
354	при таком	2	2
355	была бы	3	2
356	на вопрос	6	2
357	в такой	6	2
358	нужно было	4	2
359	к его	3	2
360	совершается в	5	2
361	для всей	2	2
362	речь не	6	2
363	тому что	14	2
364	к нему	5	2
365	она не	7	2
366	которой она	3	2
367	гораздо более	4	2
368	а только	2	2
369	что развитие	6	2
370	но мы	5	2
371	своей собственной	2	2
372	от всякой	2	2
373	своей внутренней	2	2
374	и без	2	2
375	что на	5	2
376	тогда когда	12	2
377	ответ на	3	2
378	ключ к	3	2
379	и мысль	2	2
380	по этому	4	2
381	в сферу	3	2
382	исследования в	3	2
383	и другого	2	2
384	по тем	3	2
385	между двумя	5	2
386	в центре	2	2
387	то как	3	2
388	что нам	2	2
389	и по	6	2
390	что они	11	2
391	и ее	3	2
392	и более	2	2
393	этом случае	15	2
394	только как	2	2
395	может и	3	2
396	здесь мы	2	2
397	в значении	2	2
398	одно и	3	2
399	сказать что	18	2
400	по поводу	3	2
401	никак не	5	2
402	только по	5	2
403	слово не	4	2
404	бы в	7	2
405	к которой	3	2
406	с другими	5	2
407	в нашей	4	2
408	в результате	3	2
409	время в	3	2
410	равной мере	2	2
411	из этих	6	2
412	действительности в	3	2
413	но напротив	3	2
414	в значительной	3	2
415	этом и	2	2
416	значение в	3	2
417	иначе говоря	3	2
418	та же	2	2
419	из двух	3	2
420	не означает	4	2
421	но даже	2	2
422	что есть	2	2
423	в живом	3	2
424	как известно	6	2
425	где мы	2	2
426	что по	2	2
427	есть в	5	2
428	нет и	4	2
429	новых и	2	2
430	с другим	3	2
431	что у	4	2
432	раз в	4	2
433	к более	3	2
434	в котором	6	2
435	слова в	7	2
436	оно не	3	2
437	в большинстве	2	2
438	нам остается	2	2
439	всякий раз	3	2
440	на первом	2	2
441	только не	14	2
442	не можем	4	2
443	мог бы	6	2
444	начинается с	2	2
445	внимание на	4	2
446	в той	7	2
447	в ряду	3	2
448	языка в	2	2
449	в психологии	5	2
450	в таком	2	2
451	друг другу	5	2
452	во всем	4	2
453	в совершенно	3	2
454	имеем дело	2	2
455	мы имеем	3	2
456	на основе	5	2
457	но он	3	2
