N	2gram	Vygotskiy_	Poddanst
1	не только	16	17
2	и в	38	14
3	и не	16	12
4	в области	9	11
5	в этом	35	10
6	в отношении	14	10
7	но в	4	9
8	то же	18	9
9	в том	59	9
10	в качестве	25	9
11	хотя бы	2	8
12	в то	5	7
13	только в	16	7
14	быть может	2	6
15	но и	9	6
16	было бы	15	6
17	в смысле	9	6
18	в ней	3	6
19	с другой	11	5
20	не в	10	5
21	в которых	3	5
22	может быть	25	5
23	по себе	11	4
24	что в	31	4
25	если бы	12	4
26	на пути	2	4
27	и потому	2	4
28	в своем	9	4
29	том что	44	4
30	а также	6	4
31	мы должны	15	4
32	в котором	3	4
33	и к	9	4
34	как бы	17	4
35	то что	27	4
36	не может	11	4
37	а в	7	4
38	же в	3	4
39	что мы	18	3
40	и как	11	3
41	с тем	18	3
42	но не	7	3
43	тем самым	6	3
44	это не	5	3
45	с точки	11	3
46	сами по	4	3
47	столь же	7	3
48	мы не	14	3
49	для того	14	3
50	в себе	9	3
51	точки зрения	27	3
52	потому что	14	3
53	одной стороны	8	3
54	в нем	4	3
55	между тем	10	3
56	вслед за	4	3
57	могут быть	9	3
58	прежде всего	6	3
59	хотя и	2	3
60	тот же	10	3
61	с одной	8	3
62	с ними	3	3
63	заключается в	22	3
64	наряду с	3	3
65	для нас	6	2
66	должно быть	3	2
67	переход от	5	2
68	в них	3	2
69	является в	4	2
70	в жизни	3	2
71	в мире	2	2
72	если в	3	2
73	одна из	2	2
74	для них	3	2
75	в эту	3	2
76	и мы	2	2
77	и это	7	2
78	которую мы	5	2
79	и тем	8	2
80	и других	4	2
81	в его	22	2
82	с этим	6	2
83	по сравнению	6	2
84	не менее	8	2
85	бы ни	2	2
86	именно в	6	2
87	в начале	5	2
88	в виде	4	2
89	тем более	2	2
90	все это	8	2
91	в частности	4	2
92	том числе	3	2
93	как на	2	2
94	а не	7	2
95	во всей	3	2
96	например в	2	2
97	по характеру	2	2
98	и с	5	2
99	может ли	2	2
100	во всех	3	2
101	заключает в	3	2
102	в сфере	3	2
103	того что	17	2
104	в силу	9	2
105	главным образом	3	2
106	из них	5	2
107	не столько	4	2
108	отнюдь не	6	2
