N	3gram	Bakhtin_Pr	KFilosof
1	по отношению к	17	22
2	не может быть	8	11
3	в его целом	8	10
4	с точки зрения	21	10
5	может быть только	3	7
6	в этом смысле	12	3
7	между тем как	4	3
8	на самом деле	4	3
9	и в этом	8	3
10	в нем и	2	3
11	то ни было	2	2
12	он может быть	2	2
13	то что я	2	2
14	бы то ни	3	2
15	бы он ни	2	2
16	в том что	10	2
17	в то же	10	2
18	той или иной	3	2
19	мира в его	2	2
20	то же время	10	2
21	во всей его	2	2
22	раз и навсегда	2	2
23	и для него	2	2
24	он ни был	2	2
25	имеем в виду	2	2
