N	2gram	Voloshinov	Analitik
1	не только	7	71
2	и в	16	66
3	но и	4	57
4	в том	3	52
5	может быть	17	52
6	в частности	2	51
7	в этом	9	51
8	как и	2	50
9	и не	4	48
10	том что	3	40
11	при этом	6	40
12	так и	4	35
13	не может	8	29
14	как бы	5	29
15	отнюдь не	4	29
16	а в	3	28
17	в его	4	27
18	и его	8	27
19	и даже	4	22
20	в этой	4	22
21	что в	3	22
22	и т.п	2	20
23	о том	2	20
24	но в	4	19
25	в своей	2	19
26	то же	2	19
27	в самом	2	19
28	с его	7	19
29	только в	4	17
30	могут быть	3	16
31	то что	3	16
32	в пределах	2	16
33	что и	2	16
34	не есть	2	15
35	прежде всего	9	15
36	и на	4	15
37	не менее	2	14
38	того же	2	14
39	я и	6	14
40	точки зрения	8	13
41	в начале	2	13
42	для него	6	13
43	он не	2	13
44	никогда не	2	12
45	и к	6	12
46	как это	3	12
47	еще не	5	12
48	в конечном	3	12
49	сводится к	2	12
50	нуждается в	5	11
51	конечном счете	2	11
52	и как	3	11
53	можно сказать	4	11
54	едва ли	3	10
55	один из	2	10
56	было бы	2	10
57	отношения к	3	10
58	крайней мере	3	9
59	за пределы	2	9
60	во всех	3	9
61	по крайней	3	9
62	говорить о	2	9
63	таким образом	9	9
64	вместе с	3	9
65	что он	2	8
66	и все	4	8
67	в основе	3	8
68	нашего времени	2	8
69	с точки	6	8
70	с ним	2	8
71	в свое	2	7
72	все это	4	7
73	во всяком	3	7
74	себя и	2	7
75	и для	2	7
76	у него	2	7
77	в одном	3	7
78	всяком случае	3	7
79	как мы	4	7
80	его в	4	6
81	для всех	4	6
82	что не	2	6
83	не знает	2	6
84	те же	3	6
85	в нем	4	6
86	что на	2	6
87	не будет	2	6
88	при всей	2	6
89	хотя бы	4	6
90	из этих	2	6
91	есть в	2	6
92	на этом	3	6
93	и потому	3	5
94	не могут	2	5
95	но как	2	5
96	совершенно не	8	5
97	самом деле	6	5
98	в один	4	5
99	в общем	3	5
100	в них	2	5
101	и по	2	5
102	все эти	5	5
103	мы не	2	5
104	с их	3	5
105	к этому	2	5
106	с другими	3	5
107	с ее	4	5
108	и их	4	5
109	в этих	3	5
110	ни в	5	5
111	все что	4	5
112	путь к	2	5
113	в итоге	2	5
114	что мы	2	5
115	и ее	4	4
116	в области	3	4
117	отношение к	5	4
118	только на	3	4
119	на две	3	4
120	и о	2	4
121	в чем	5	4
122	с ними	4	4
123	сказать что	7	4
124	по своему	2	4
125	с этим	2	4
126	но это	2	4
127	ни было	2	4
128	ее в	2	4
129	мы уже	2	4
130	между ними	3	4
131	этом смысле	3	4
132	реальности и	3	4
133	и есть	3	4
134	является по	2	4
135	на основе	2	4
136	на самом	4	3
137	может иметь	2	3
138	нам кажется	2	3
139	мира и	3	3
140	быть может	2	3
141	между собой	2	3
142	во время	3	3
143	для этого	2	3
144	тех же	3	3
145	так как	4	3
146	и может	4	3
147	только для	5	3
148	и наконец	4	3
149	в жизни	2	3
150	с этой	2	3
151	возникает в	2	3
152	они не	2	3
153	во сне	2	3
154	оно не	2	3
155	и с	8	3
156	жизни и	3	3
157	в большинстве	3	2
158	оно и	2	2
159	но мы	4	2
160	так же	2	2
161	для нас	2	2
162	даже не	3	2
163	к себе	3	2
164	и таким	2	2
165	в одно	2	2
166	своей жизни	2	2
167	на этой	3	2
168	с нею	2	2
169	в психике	8	2
170	и др	3	2
171	войти в	2	2
172	т.е в	2	2
173	во всей	2	2
174	но зато	2	2
175	мы видим	2	2
176	в мир	2	2
177	к другим	2	2
178	что это	2	2
179	но отнюдь	2	2
180	на два	2	2
181	а на	2	2
182	мы можем	9	2
183	этих трех	2	2
184	на первый	2	2
185	это делает	2	2
186	и вот	3	2
187	да еще	2	2
188	но ведь	2	2
189	со всеми	2	2
190	сих пор	3	2
191	на протяжении	2	2
192	нет и	2	2
193	вообще не	2	2
194	их в	3	2
195	к ним	2	2
196	не можем	2	2
197	учение о	3	2
198	и только	9	2
199	до сих	3	2
200	не удается	2	2
201	художественного творчества	4	2
