N	3gram	Tiupa_Hudo	Vvedenie
1	для того чтобы	5	22
2	в том что	8	15
3	в этом смысле	3	10
4	не может быть	4	10
5	тем не менее	3	9
6	в то же	7	6
7	в самом деле	2	6
8	то же время	7	6
9	с другой стороны	6	5
10	может быть названо	2	4
11	так или иначе	4	4
12	с одной стороны	3	4
13	по отношению к	10	4
14	в отличие от	7	4
15	с точки зрения	3	4
16	в известном смысле	2	3
17	той или иной	5	3
18	можно сказать что	3	3
19	и в самом	3	3
20	тех или иных	2	3
21	сама по себе	2	3
22	одно и то	3	2
23	и то же	3	2
24	тем или иным	2	2
25	состоит в том	5	2
26	подобно тому как	3	2
27	этой точки зрения	2	2
28	с этой точки	2	2
29	и того же	3	2
30	одного и того	3	2
31	значении этого термина	2	2
32	может быть и	2	2
33	в связи с	3	2
34	в свою очередь	2	2
