N	3gram	Ircho_Kome	Morfolog
1	и т д	4	60
2	в связи с	3	9
3	по отношению к	5	7
4	тем не менее	2	6
5	с другой стороны	6	5
6	в том что	13	4
7	к тому что	3	4
8	в тех же	3	4
9	независимо от того	3	4
10	о том что	6	3
11	бы то ни	4	3
12	то время как	6	3
13	в то время	8	3
14	как и в	2	3
15	для того чтобы	3	3
16	в большинстве случаев	2	3
17	на то что	2	3
18	во всяком случае	4	2
19	то ни было	4	2
20	в этом отношении	3	2
21	и таким образом	2	2
22	в обоих случаях	3	2
23	можно было бы	3	2
24	с одной стороны	5	2
