N	2gram	Propp_Morf	DiskursI
1	в качестве	8	72
2	а не	11	60
3	может быть	61	56
4	не только	8	49
5	и в	17	49
6	как и	4	47
7	тогда как	2	47
8	в том	10	44
9	и не	16	44
10	представляет собой	17	41
11	том что	7	40
12	в этом	18	38
13	состоит в	3	37
14	в частности	2	36
15	но и	9	35
16	но не	8	31
17	со стороны	5	28
18	так и	10	28
19	но в	4	28
20	не может	19	27
21	как в	5	25
22	еще не	4	23
23	а также	7	20
24	все же	9	19
25	прежде всего	14	19
26	в основе	2	18
27	далеко не	5	18
28	по отношению	7	17
29	в данном	2	17
30	то же	10	17
31	с другой	9	17
32	отношению к	7	17
33	точки зрения	7	16
34	только в	3	16
35	роль в	2	15
36	то что	10	15
37	о том	6	15
38	это не	6	14
39	не в	3	14
40	не менее	7	14
41	одной стороны	2	14
42	можно сказать	2	14
43	не является	4	14
44	ни к	2	14
45	с одной	2	14
46	в целом	5	13
47	для него	2	13
48	как бы	6	13
49	данном случае	2	12
50	в своих	2	12
51	что в	10	11
52	с его	3	11
53	и как	6	11
54	а в	8	10
55	а с	2	10
56	также и	6	10
57	в то	4	9
58	героя в	5	9
59	между тем	5	9
60	уже не	4	9
61	себя в	2	9
62	этом отношении	2	8
63	как уже	3	8
64	к тому	5	8
65	потому что	7	8
66	не на	2	8
67	хотя и	5	8
68	если в	7	8
69	и даже	2	8
70	в этих	17	8
71	не с	2	8
72	в одном	2	8
73	из них	4	8
74	он не	5	8
75	перед нами	14	7
76	его в	4	7
77	могут быть	21	7
78	и ее	5	7
79	приводит к	3	7
80	в ходе	5	7
81	одной из	2	7
82	и для	4	7
83	но это	6	7
84	что и	10	7
85	например в	2	7
86	в этой	3	7
87	другой стороны	5	7
88	и сказки	2	7
89	к этому	4	7
90	в пределах	3	7
91	ни в	3	7
92	и его	3	7
93	таким образом	26	7
94	в одной	2	6
95	что он	5	6
96	не знает	2	6
97	тому как	5	6
98	однако в	2	6
99	что же	2	6
100	здесь не	3	6
101	в сущности	3	6
102	одна из	5	6
103	то в	3	6
104	во всех	6	6
105	героя и	3	6
106	в которых	2	6
107	с точки	6	6
108	ничего не	5	5
109	к себе	2	5
110	в другом	2	5
111	не всегда	10	5
112	того что	3	5
113	во втором	7	5
114	несмотря на	4	5
115	один из	7	5
116	представляют собой	16	5
117	того как	2	5
118	как будто	2	5
119	сказать что	4	5
120	из этих	2	5
121	во второй	2	5
122	из двух	3	5
123	но они	2	5
124	подобно тому	6	5
125	оно не	2	5
126	на этом	4	5
127	говорить о	4	5
128	тем что	4	5
129	не могут	7	4
130	а на	3	4
131	и тем	3	4
132	и др	12	4
133	в свое	2	4
134	по своему	2	4
135	как это	7	4
136	ни одна	4	4
137	на его	5	4
138	можно назвать	3	4
139	что они	5	4
140	в первом	5	4
141	должны быть	2	4
142	во всяком	2	4
143	мы имеем	19	4
144	в результате	8	4
145	этом случае	10	4
146	в данной	2	4
147	тем не	7	4
148	связи с	12	4
149	одним из	2	4
150	в какой	3	4
151	или на	3	4
152	и к	4	4
153	а по	3	4
154	к другому	2	4
155	или в	6	4
156	и есть	3	4
157	первый взгляд	3	3
158	вопрос о	10	3
159	в тех	8	3
160	в обоих	2	3
161	в форме	6	3
162	в иных	4	3
163	это и	3	3
164	но оно	2	3
165	что ни	2	3
166	они и	5	3
167	но как	3	3
168	но так	2	3
169	за которым	2	3
170	она не	2	3
171	они не	3	3
172	более или	2	3
173	об этом	5	3
174	заметить что	11	3
175	между собой	5	3
176	но здесь	2	3
177	сказки о	6	3
178	в сказке	27	3
179	о его	4	3
180	все эти	5	3
181	было бы	5	3
182	мы не	8	3
183	дело не	2	3
184	должна быть	2	3
185	о животных	9	3
186	как мы	8	3
187	или не	3	3
188	герой не	2	3
189	с этим	14	3
190	в начале	3	3
191	хотя бы	5	3
192	в которой	3	3
193	к ней	3	3
194	и по	3	3
195	на первый	3	3
196	и более	2	3
197	или менее	2	3
198	обоих случаях	2	3
199	но все	4	3
200	не имеет	2	3
201	является в	2	3
202	их в	2	3
203	и сказка	2	3
204	входит в	4	3
205	к чему	3	3
206	всяком случае	2	3
207	том случае	3	3
208	то ни	3	3
209	момент в	2	3
210	в большинстве	3	3
211	и что	3	3
212	тем же	2	3
213	можно указать	3	2
214	не происходит	3	2
215	которое может	2	2
216	мы должны	3	2
217	этого момента	3	2
218	вслед за	5	2
219	сказки и	6	2
220	а потом	2	2
221	вопроса о	3	2
222	научной литературе	2	2
223	друг друга	3	2
224	быть и	2	2
225	и вне	3	2
226	и при	3	2
227	самом деле	4	2
228	здесь можно	5	2
229	в чем	2	2
230	к различным	2	2
231	по существу	13	2
232	в россии	2	2
233	так например	3	2
234	действующих лиц	22	2
235	к нему	3	2
236	или по	2	2
237	в различных	2	2
238	тех случаях	2	2
239	а потому	2	2
240	ответ на	2	2
241	углом зрения	2	2
242	большинстве случаев	3	2
243	в собственном	3	2
244	себя и	2	2
245	последовательность событий	3	2
246	все это	2	2
247	который в	2	2
248	вовсе не	6	2
249	то с	3	2
250	бы то	3	2
251	это еще	2	2
252	некоторые из	3	2
253	не от	2	2
254	могла бы	4	2
255	право на	2	2
256	тех же	4	2
257	утверждать что	3	2
258	с другими	2	2
259	в сказках	3	2
260	в круг	2	2
261	что она	2	2
262	появляется в	2	2
263	волшебной сказке	2	2
264	это было	3	2
265	мы можем	5	2
266	на него	4	2
267	как их	2	2
268	целый ряд	3	2
269	если бы	3	2
270	герой в	2	2
271	также может	3	2
272	ни было	2	2
273	для того	3	2
274	и их	3	2
275	с этой	3	2
276	о герое	3	2
277	в последнем	3	2
278	не по	2	2
279	наших дней	2	2
280	случаях когда	2	2
281	в научной	2	2
282	на этот	2	2
283	у него	2	2
284	ее в	3	2
285	на то	3	2
286	под углом	2	2
287	путь к	2	2
288	но для	3	2
289	из которых	5	2
290	может не	2	2
291	как таковая	2	2
292	в некоторых	4	2
293	случае если	2	2
294	и только	3	2
295	в плоскости	3	2
296	в нашем	6	2
297	в лесу	2	2
