N	2gram	Vygotskiy_	EvropaiC
1	таким образом	38	34
2	в том	55	31
3	и в	55	24
4	том что	30	20
5	все эти	7	19
6	не может	30	18
7	то что	47	18
8	может быть	35	17
9	до сих	8	15
10	все же	9	15
11	сих пор	8	15
12	точки зрения	32	14
13	в этом	21	13
14	все это	11	13
15	в своем	3	12
16	с этим	7	12
17	самом деле	19	12
18	между тем	6	12
19	но и	12	11
20	не только	25	10
21	так и	6	10
22	во всех	4	10
23	мы знаем	8	10
24	как и	25	10
25	все что	4	10
26	как бы	11	10
27	в результате	4	9
28	и не	24	9
29	не в	19	9
30	что в	39	9
31	и все	8	9
32	на то	17	9
33	того же	3	9
34	потому что	27	9
35	при этом	28	9
36	и что	28	9
37	так же	29	8
38	из этих	6	8
39	или менее	3	8
40	если бы	10	8
41	для того	12	8
42	к тому	8	8
43	более или	3	8
44	в самом	18	8
45	знаем что	4	8
46	того чтобы	13	8
47	с точки	12	8
48	ясно что	22	8
49	на самом	6	7
50	в сознании	6	7
51	так как	28	7
52	в силу	4	7
53	что он	17	7
54	того что	15	7
55	не менее	9	7
56	о том	11	7
57	из этого	5	7
58	что и	27	7
59	в этой	5	7
60	по существу	6	7
61	что при	8	7
62	вместе с	10	7
63	отличается от	4	6
64	только в	18	6
65	у них	2	6
66	еще не	2	6
67	и при	3	6
68	так что	8	6
69	в то	8	6
70	должна быть	3	6
71	и для	9	6
72	с другой	7	6
73	в общем	2	6
74	и если	4	6
75	и на	6	6
76	мы можем	6	6
77	несмотря на	8	6
78	что с	5	6
79	как на	6	6
80	тому же	4	6
81	с ним	2	6
82	и от	4	5
83	его в	3	5
84	по сравнению	3	5
85	в себе	6	5
86	в состоянии	4	5
87	должно быть	2	5
88	к этому	5	5
89	оказывается что	5	5
90	в которой	6	5
91	случае если	2	5
92	как к	2	5
93	на все	6	5
94	и их	4	5
95	из них	4	5
96	что это	12	5
97	из всех	4	5
98	по своему	2	5
99	у него	4	5
100	что все	10	5
101	далеко не	7	5
102	но в	5	5
103	столь же	6	5
104	и без	3	5
105	а потому	5	5
106	и с	5	5
107	и к	5	5
108	другой стороны	7	5
109	в целом	8	5
110	не будет	4	5
111	в его	8	5
112	как будто	10	5
113	сравнению с	3	5
114	никогда не	13	4
115	в одну	2	4
116	и то	4	4
117	в такой	2	4
118	не могут	6	4
119	из того	2	4
120	мы должны	4	4
121	что эта	4	4
122	хотя бы	4	4
123	то ни	2	4
124	тем не	6	4
125	в конце	6	4
126	которых мы	4	4
127	отношение к	3	4
128	и у	6	4
129	целый ряд	12	4
130	иначе говоря	6	4
131	конце концов	6	4
132	состоит из	2	4
133	ее и	2	4
134	та же	4	4
135	то же	17	4
136	в их	4	4
137	том же	4	4
138	в области	12	4
139	а с	2	4
140	совершенно не	7	4
141	что его	5	4
142	что для	5	4
143	с тем	11	4
144	не так	2	4
145	и сейчас	4	4
146	на вопрос	4	4
147	не есть	4	4
148	из которых	5	4
149	что мы	9	4
150	том случае	3	4
151	связи с	2	4
152	в психологии	13	4
153	этой области	4	4
154	в таком	5	4
155	он не	8	4
156	это есть	6	4
157	если мы	21	4
158	хотя и	3	4
159	даже в	2	3
160	представление о	6	3
161	и вообще	3	3
162	вопрос о	3	3
163	тем самым	2	3
164	при помощи	27	3
165	что если	7	3
166	и потому	2	3
167	что по	5	3
168	и до	2	3
169	от него	2	3
170	и говорить	2	3
171	в настоящее	2	3
172	в тех	2	3
173	бы в	3	3
174	но даже	4	3
175	которые не	3	3
176	ни было	2	3
177	от того	6	3
178	настоящее время	2	3
179	только что	3	3
180	очевидно что	7	3
181	с этой	8	3
182	в этих	6	3
183	конечно не	2	3
184	и других	4	3
185	в связи	3	3
186	и наконец	2	3
187	одного и	2	3
188	у нас	4	3
189	вследствие этого	2	3
190	прежде всего	5	3
191	отличие от	6	3
192	жизнь и	3	3
193	с одной	6	3
194	образом в	3	3
195	что только	3	3
196	одно из	2	3
197	в жизни	5	3
198	но не	5	3
199	рассматриваться как	4	3
200	и это	6	3
201	целом ряде	2	3
202	а в	10	3
203	бы то	3	3
204	может служить	3	3
205	на почве	3	3
206	в нем	5	3
207	указывают на	2	3
208	в ней	3	3
209	что оно	4	3
210	тогда когда	7	3
211	не то	2	3
212	для нас	5	3
213	с в	4	3
214	должны быть	6	3
215	сейчас же	5	3
216	было бы	14	3
217	и по	7	3
218	и может	3	3
219	на нас	2	3
220	во всем	5	3
221	если же	3	3
222	в совершенно	5	3
223	же как	8	3
224	заключается в	15	3
225	уже и	2	3
226	тот же	8	3
227	как мы	2	3
228	мы будем	2	3
229	чем в	2	3
230	образом и	4	2
231	он все	2	2
232	для самого	2	2
233	все дело	3	2
234	только мы	2	2
