N	3gram	Voloshinov	formyVre
1	то же время	6	21
2	в то же	6	18
3	как мы уже	5	15
4	с точки зрения	15	15
5	для того чтобы	3	12
6	до сих пор	3	10
7	и прежде всего	7	8
8	в большинстве случаев	5	8
9	в этом отношении	4	7
10	в отличие от	2	7
11	не может быть	14	7
12	с одной стороны	2	6
13	а также и	2	6
14	в том что	9	5
15	на первый план	4	5
16	в последнем счете	4	4
17	мы уже указывали	4	4
18	может быть и	6	4
19	во всяком случае	8	4
20	по отношению к	11	4
21	в его целом	2	4
22	равно как и	2	4
23	все то что	3	3
24	то же самое	2	3
25	в чем не	4	3
26	ни в чем	4	3
27	в другом месте	2	3
28	в зависимости от	4	3
29	а следовательно и	2	3
30	о том что	3	3
31	так и в	3	3
32	как раз и	2	3
33	но в то	3	3
34	с самого начала	5	3
35	узком смысле слова	3	3
36	в узком смысле	2	2
37	это прежде всего	2	2
38	к тому что	2	2
39	можно сказать что	5	2
40	в подходе к	2	2
41	во всех своих	3	2
42	что и в	2	2
43	в данном случае	4	2
44	а вовсе не	3	2
45	если бы он	3	2
46	быть и речи	3	2
47	и все его	2	2
48	и до конца	4	2
49	в ее целом	4	2
50	в свою очередь	4	2
