N	2gram	Tiupa_Disk	Stilisti
1	и в	27	42
2	как бы	9	30
3	не только	36	28
4	и т.п	18	25
5	прежде всего	17	22
6	и т.д	5	21
7	хотя бы	3	18
8	внутренней речи	5	18
9	то же	12	16
10	но и	22	16
11	и не	25	14
12	не может	17	13
13	может быть	29	13
14	как и	27	12
15	точки зрения	6	11
16	в себе	22	10
17	и как	9	10
18	ситуации и	2	10
19	отнюдь не	11	10
20	в этом	29	10
21	как мы	2	10
22	в то	8	9
23	все же	8	9
24	то что	10	9
25	при этом	22	9
26	мы не	2	9
27	тем самым	6	8
28	и это	3	8
29	речевого общения	13	8
30	в ней	2	8
31	что же	4	8
32	таким образом	4	8
33	с его	9	8
34	никогда не	3	7
35	и от	2	7
36	в которой	2	7
37	же время	9	7
38	так и	14	7
39	потому что	7	7
40	только в	9	7
41	а не	35	7
42	и на	8	7
43	и его	4	7
44	той же	2	7
45	и тем	2	7
46	одно и	2	6
47	точкой зрения	2	6
48	или иной	8	6
49	во всех	6	6
50	не в	8	6
51	в области	3	6
52	говорящего и	3	6
53	речи и	2	6
54	в нем	16	6
55	в свою	3	6
56	в процессе	6	6
57	на его	4	6
58	в его	9	6
59	в форме	2	6
60	слова в	2	6
61	в этой	5	6
62	и то	4	5
63	того или	3	5
64	в нашем	2	5
65	то есть	29	5
66	слова и	2	5
67	не является	5	5
68	и наконец	2	5
69	самом деле	2	5
70	как это	2	5
71	а с	8	5
72	но все	2	5
73	а в	5	5
74	но в	15	5
75	или иного	2	5
76	в самом	4	5
77	и с	2	5
78	уже в	2	5
79	в той	2	5
80	с точки	3	5
81	же самое	2	5
82	вместе с	3	5
83	да и	2	4
84	слово не	2	4
85	в одном	5	4
86	так сказать	3	4
87	общения и	4	4
88	в данной	3	4
89	на него	2	4
90	лишь в	4	4
91	свою очередь	3	4
92	к своему	2	4
93	того что	4	4
94	всего в	2	4
95	самого начала	2	4
96	один из	3	4
97	общения в	3	4
98	и все	5	4
99	в каждом	2	4
100	с самого	2	4
101	к тому	6	4
102	о том	12	4
103	точка зрения	3	4
104	уже не	7	4
105	и к	4	4
106	в целом	5	4
107	языка и	3	4
108	той или	6	4
109	было в	4	4
110	все это	2	4
111	в качестве	45	4
112	себя в	8	4
113	можно сказать	7	4
114	не к	3	4
115	и без	2	4
116	сказать что	4	3
117	это не	5	3
118	которое может	2	3
119	но при	3	3
120	том что	27	3
121	а к	3	3
122	в начале	2	3
123	в тех	2	3
124	но для	2	3
125	перед нами	4	3
126	об этом	3	3
127	и даже	4	3
128	целый ряд	2	3
129	роль в	10	3
130	в виду	2	3
131	в том	29	3
132	в частности	18	3
133	еще не	20	3
134	только на	2	3
135	вследствие этого	4	3
136	как в	16	3
137	не знает	4	3
138	к той	4	3
139	для него	9	3
140	не с	4	3
141	по своему	3	3
142	в котором	7	3
143	их в	2	3
144	форма высказывания	2	3
145	заметить что	2	3
146	высказывания в	7	3
147	и само	2	3
148	в голову	2	3
149	зрения на	3	3
150	должно было	2	3
151	из них	6	3
152	хотя и	3	3
153	жизни и	2	3
154	что и	5	3
155	необходимо чтобы	2	3
156	в ее	4	3
157	высказывания с	2	3
158	все эти	2	3
159	высказывания и	3	3
160	связи с	4	3
161	перед ним	2	3
162	отношения к	2	3
163	этом случае	3	3
164	между тем	5	3
165	в основе	11	3
166	до конца	2	2
167	жанр и	3	2
168	и вообще	2	2
169	вопрос о	2	2
170	и потому	3	2
171	первобытного человека	4	2
172	значительной степени	3	2
173	с этим	3	2
174	для всех	2	2
175	слова не	3	2
176	мы имеем	4	2
177	из этих	3	2
178	но как	2	2
179	времени и	5	2
180	должно быть	2	2
181	каждый из	2	2
182	к этому	4	2
183	с ней	3	2
184	по отношению	13	2
185	не нужно	2	2
186	отношение к	6	2
187	ли не	3	2
188	общения не	2	2
189	друг друга	2	2
190	к которому	2	2
191	я и	3	2
192	тем что	4	2
193	не обладает	2	2
194	в языке	2	2
195	человека в	6	2
196	т.п но	4	2
197	этом отношении	4	2
198	из двух	5	2
199	говорящего к	3	2
200	в их	5	2
201	тот или	2	2
202	не всегда	2	2
203	в значительной	3	2
204	в этих	4	2
205	что он	6	2
206	по своей	15	2
207	и сам	2	2
208	и вследствие	2	2
209	ни к	11	2
210	отношению к	13	2
211	к чему	2	2
212	в пределах	4	2
213	в какой	2	2
214	одной из	4	2
215	в жизни	2	2
216	в мире	9	2
217	но не	17	2
218	как уже	5	2
219	также и	6	2
220	не должно	2	2
221	тому же	5	2
222	высказывания не	2	2
223	зависит от	2	2
224	в своих	6	2
225	не есть	3	2
226	о них	2	2
227	в которых	5	2
228	не говоря	2	2
229	которая и	2	2
230	однако в	3	2
231	представляет собой	24	2
232	между собой	2	2
233	и он	2	2
234	место в	2	2
235	о чем	4	2
236	не было	9	2
237	как не	3	2
238	человек не	2	2
239	но это	3	2
240	в своей	10	2
241	или даже	2	2
242	как нечто	2	2
243	или в	2	2
244	он не	4	2
245	выбора и	2	2
