N	2gram	Nazirov_Vr	Otkroven
1	у него	5	22
2	у достоевского	4	19
3	и в	8	19
4	но и	7	13
5	и не	5	13
6	в этом	8	12
7	не только	9	11
8	человека в	3	11
9	из подполья	3	11
10	может быть	4	11
11	и все	7	10
12	в нем	6	10
13	никогда не	2	9
14	не было	5	9
15	и он	2	8
16	он был	3	8
17	в его	3	7
18	достоевского он	2	7
19	он не	3	7
20	но он	3	7
21	как и	6	6
22	все это	4	6
23	для него	2	5
24	а в	2	5
25	в россии	5	5
26	в том	3	5
27	достоевского и	7	5
28	то что	7	5
29	в этой	2	5
30	отношение к	2	5
31	и его	3	4
32	достоевский не	3	4
33	что в	7	4
34	он сам	2	4
35	достоевского не	4	4
36	т е	3	4
37	не может	2	4
38	с его	3	4
39	в себе	2	3
40	о том	4	3
41	записки из	2	3
42	это не	4	3
43	что он	4	3
44	достоевский был	2	3
45	достоевского в	7	3
46	еще не	2	3
47	в своих	4	3
48	в русской	3	3
49	и ее	2	3
50	в бесах	10	3
51	как бы	4	3
52	с ним	4	3
53	и то	2	2
54	достоевского к	3	2
55	что достоевский	4	2
56	уже в	4	2
57	россии в	2	2
58	достоевского с	9	2
59	и с	6	2
60	в дневнике	4	2
61	в своем	3	2
62	тем что	3	2
63	но в	6	2
64	том что	3	2
65	достоевский всегда	2	2
66	о достоевском	2	2
67	все же	6	2
68	о которой	2	2
69	в своей	2	2
70	что у	3	2
71	в истории	4	2
72	к достоевскому	6	2
73	и о	3	2
74	к этому	3	2
75	что есть	3	2
76	в этот	3	2
77	его в	3	2
