N	2gram	Tiupa_Hudo	Vvedenie
1	и т	15	45
2	т е	6	40
3	т д	5	39
4	в том	24	38
5	в этом	22	35
6	и в	34	35
7	том что	31	30
8	может быть	12	30
9	не только	22	26
10	для того	3	23
11	того чтобы	6	22
12	не может	10	19
13	то что	13	19
14	потому что	7	18
15	со стороны	6	16
16	о том	21	16
17	только в	8	16
18	так как	2	15
19	и не	15	13
20	что в	8	13
21	в самом	7	13
22	в нем	5	13
23	в их	2	12
24	того что	5	12
25	xix в	5	12
26	точки зрения	7	12
27	в его	17	12
28	как на	2	12
29	в данном	3	11
30	то же	14	11
31	по себе	3	11
32	в ее	16	11
33	как мы	5	11
34	ясно что	2	11
35	вопрос о	2	10
36	не в	16	10
37	прежде всего	12	10
38	но в	6	10
39	между тем	14	10
40	из этих	3	9
41	тем не	7	9
42	все же	5	9
43	представляют собой	2	9
44	но не	7	9
45	не менее	9	9
46	дело с	2	9
47	это не	12	8
48	можно было	6	8
49	о котором	2	8
50	с другой	4	8
51	а только	4	8
52	именно в	9	8
53	в качестве	13	8
54	и то	2	7
55	самом деле	6	7
56	сих пор	3	7
57	о природе	3	7
58	как и	16	7
59	как бы	11	7
60	но и	13	7
61	было бы	8	7
62	до сих	3	7
63	сказать что	3	6
64	его в	5	6
65	как например	2	6
66	том чтобы	2	6
67	хотя бы	2	6
68	об этом	8	6
69	и даже	4	6
70	тем что	6	6
71	как он	4	6
72	на вопрос	2	6
73	и это	7	6
74	а в	11	6
75	уже не	12	6
76	xviii в	2	6
77	в то	12	6
78	один из	6	6
79	и что	3	6
80	и его	8	6
81	все это	2	6
82	же время	11	6
83	вовсе не	2	6
84	вместе с	2	6
85	данном случае	3	5
86	дело в	2	5
87	дело не	2	5
88	есть и	3	5
89	и т.д	3	5
90	и тем	2	5
91	а как	2	5
92	с этой	3	5
93	что он	14	5
94	так что	3	5
95	т п	10	5
96	что не	4	5
97	по своему	3	5
98	одно из	4	5
99	как уже	3	5
100	от этого	2	5
101	как это	8	5
102	в г	3	5
103	в них	3	5
104	уже в	2	5
105	в целом	2	5
106	внимание на	3	5
107	что и	3	5
108	говорить о	4	5
109	а не	23	5
110	в первом	2	5
111	но с	3	5
112	хотя и	3	5
113	да и	5	4
114	еще и	2	4
115	в результате	2	4
116	о чем	9	4
117	одной стороны	4	4
118	и ее	3	4
119	по отношению	15	4
120	только что	4	4
