N	3gram	Potebnia_M	Marksizm
1	с точки зрения	2	46
2	не может быть	7	25
3	в то же	8	15
4	по отношению к	10	15
5	то же время	8	15
6	в том что	22	14
7	для того чтобы	5	11
8	до сих пор	4	11
9	одного и того	2	9
10	в большинстве случаев	2	9
11	и того же	2	9
12	то же самое	3	8
13	смысле этого слова	9	7
14	с другой стороны	4	7
15	в свою очередь	6	7
16	во всяком случае	3	6
17	на самом деле	4	6
18	на то что	3	6
19	с одной стороны	4	6
20	и как бы	2	5
21	в таком случае	2	5
22	в этом отношении	2	5
23	к тому что	3	5
24	в этом случае	2	5
25	в первом случае	2	4
26	том что он	2	4
27	можно сказать что	3	4
28	о том что	5	4
29	в слове и	6	4
30	и то же	7	3
31	тем не менее	7	3
32	более или менее	6	3
33	и тот же	2	3
34	одной и той	4	3
35	одним и тем	4	3
36	не могут быть	3	3
37	одно и то	7	3
38	и той же	4	3
39	не только в	4	3
40	в этом последнем	2	3
41	но и в	4	3
42	и тем же	4	3
43	не существует для	2	3
44	не было бы	2	3
45	один и тот	2	3
46	именно в том	3	3
47	и та же	2	2
48	по крайней мере	8	2
49	от того что	7	2
50	само по себе	6	2
51	тех пор пока	2	2
52	то же слово	2	2
53	так и в	2	2
54	одна и та	2	2
55	до тех пор	5	2
56	в данном случае	3	2
57	что он не	3	2
58	связи с другими	2	2
59	рано или поздно	2	2
60	как и в	3	2
61	между тем как	4	2
62	а между тем	6	2
63	сами по себе	3	2
64	и в самом	3	2
65	сама по себе	3	2
66	друг от друга	2	2
67	в различных языках	2	2
68	в собственном смысле	2	2
69	с ними в	2	2
70	не то что	2	2
71	со всех сторон	3	2
72	и в том	3	2
73	есть прежде всего	2	2
74	в этом смысле	2	2
