N	3gram	Savitsky_E	Myshleni
1	в том что	6	133
2	с точки зрения	16	89
3	для того чтобы	5	78
4	заключается в том	2	51
5	по сравнению с	2	45
6	с одной стороны	8	39
7	так же как	5	39
8	друг с другом	3	35
9	в этом отношении	3	30
10	можно было бы	3	28
11	с другой стороны	2	26
12	на то что	2	25
13	не может быть	2	23
14	можно сказать что	3	21
15	из того что	2	19
16	во всяком случае	3	18
17	в этом смысле	3	18
18	этой точки зрения	5	17
19	как мы видели	2	17
20	же как и	3	17
21	с этой точки	5	16
22	в известном смысле	3	15
23	в данном случае	2	15
24	друг от друга	2	14
25	в свою очередь	2	14
26	одной стороны и	6	10
27	то что в	2	10
28	само по себе	4	9
29	приводит нас к	2	9
30	той или иной	4	8
31	только в том	2	8
32	к тому чтобы	2	7
33	заключает в себе	3	6
34	и в частности	2	6
35	в то же	15	5
36	и в этом	4	5
37	по нашему мнению	2	5
38	прежде всего в	2	5
39	не только в	4	5
40	тому или иному	2	4
41	так и в	2	4
42	бы то ни	4	3
43	то ни было	4	3
44	того что в	2	3
45	и только в	2	3
46	в применении к	3	3
47	хотя бы и	3	3
48	имеет место в	2	3
49	и со стороны	2	3
50	того или иного	4	3
51	то же время	14	3
52	сказать что в	2	3
53	хотя бы в	2	3
54	по себе не	2	2
55	в одном из	2	2
56	в частности в	2	2
57	или хотя бы	2	2
58	в большинстве случаев	2	2
59	в качестве орудия	2	2
60	ту или иную	3	2
61	в той или	3	2
62	дело идет о	2	2
