N	2gram	Bakhtin_KF	VeschiIm
1	не есть	22	79
2	и не	28	57
3	не только	5	48
4	то что	7	48
5	не может	29	46
6	и в	28	45
7	и есть	10	40
8	может быть	45	39
9	а не	17	37
10	что я	5	26
11	потому что	2	25
12	было бы	8	24
13	в себе	21	23
14	по себе	2	23
15	только в	18	23
16	в смысле	6	22
17	как бы	9	20
18	и ее	2	19
19	что это	4	19
20	но и	9	19
21	все же	5	18
22	в этом	15	18
23	и это	12	17
24	прежде всего	4	17
25	того что	3	16
26	в том	6	15
27	как и	5	15
28	в ней	3	15
29	уже не	7	15
30	не в	13	14
31	и то	2	14
32	но это	6	14
33	том что	4	13
34	это и	3	13
35	не будет	2	13
36	и для	10	13
37	то ни	2	13
38	в себя	8	13
39	ничего не	3	12
40	совершенно не	7	12
41	смысл и	6	12
42	что в	4	12
43	точки зрения	13	12
44	что и	7	12
45	и как	2	12
46	то же	5	12
47	ни было	4	12
48	еще не	5	12
49	о том	3	12
50	не значит	6	12
51	бы то	2	12
52	в то	3	11
53	не менее	3	11
54	что не	3	11
55	вовсе не	7	11
56	себя в	8	11
57	тем не	2	11
58	и их	6	11
59	и пр	3	11
60	ни в	12	11
61	и только	7	11
62	в чем	4	10
63	с ее	2	10
64	ясно что	3	10
65	это не	10	9
66	нисколько не	4	9
67	со стороны	8	9
68	в своем	17	9
69	она не	2	9
70	ли это	2	9
71	бы и	3	9
72	должно быть	6	9
73	хотя бы	5	9
74	я и	5	9
75	но не	12	9
76	говорить о	2	9
77	и его	18	9
78	с ним	5	9
79	его в	5	8
80	и потому	2	8
81	что он	2	8
82	но в	5	8
83	в ее	17	8
84	мы не	3	8
85	себя и	5	8
86	все это	10	8
87	это есть	2	8
88	должна быть	4	8
89	что значит	2	8
90	смысла и	2	8
91	мы имеем	5	8
92	если бы	8	8
93	с тем	2	8
94	что есть	2	8
95	для него	13	8
96	отнюдь не	7	8
97	не потому	2	7
98	от того	3	7
99	и тем	3	7
100	самом деле	3	7
101	а в	5	7
102	можно ли	2	7
103	все эти	11	7
104	я не	6	7
105	есть именно	2	7
106	тем что	3	7
107	оно не	2	7
108	никогда не	5	6
109	в каком	4	6
110	вопрос о	2	6
111	независимо от	3	6
112	для себя	7	6
113	и все	9	6
114	в нем	32	6
115	бытие и	3	6
116	в своей	11	6
117	в данном	2	6
118	бытия и	10	6
119	дело в	2	6
120	если я	2	6
121	быть только	8	6
122	из себя	11	6
123	мы говорим	2	6
124	жизни и	8	6
125	с точки	10	6
126	момент в	7	6
127	в одном	5	6
128	значило бы	2	5
129	когда я	3	5
130	а это	2	5
131	как к	2	5
132	должен быть	7	5
133	и мы	2	5
134	тогда когда	3	5
135	один из	2	5
136	в его	42	5
137	и когда	2	5
138	со всем	5	5
139	быть и	3	5
140	для этого	2	5
141	во всех	11	5
142	и здесь	7	5
143	или как	2	5
144	в жизни	2	5
145	нет и	3	5
146	в свою	3	5
147	то или	2	5
148	быть не	2	5
149	к себе	2	4
150	отношение к	6	4
151	я должен	7	4
152	в их	9	4
153	так и	2	4
154	это значило	2	4
155	только это	2	4
156	в этой	2	4
157	его на	2	4
158	того чтобы	2	4
159	в качестве	2	4
160	не было	8	4
161	тот же	3	4
162	с ними	4	4
163	в основе	5	4
164	ее как	2	4
165	как оно	2	4
166	дело не	2	4
167	и эта	2	4
168	его и	2	4
169	отношении к	2	4
170	что только	2	4
171	в котором	24	4
172	может не	2	4
173	смысле и	2	4
174	еще более	2	4
175	сводится к	2	4
176	же время	2	4
177	он не	6	4
178	не быть	3	4
179	а следовательно	3	4
180	принципиально не	5	3
181	от его	5	3
182	но можно	4	3
183	я могу	5	3
184	для меня	22	3
185	но как	5	3
186	можно и	2	3
187	человека и	3	3
188	в другом	3	3
189	и эти	2	3
190	я имею	3	3
191	оба эти	2	3
192	в виде	2	3
193	и ни	3	3
194	а с	2	3
195	к нему	12	3
196	только с	3	3
197	и само	2	3
198	себя как	2	3
199	если не	2	3
200	в целом	10	3
201	той или	3	3
202	и может	3	3
203	из его	3	3
204	мы получим	2	3
205	могла бы	4	3
206	от этого	2	3
207	действительности в	2	3
208	не нужно	2	3
209	жизни в	5	3
210	для того	3	3
211	как в	2	3
212	ни к	2	3
213	но все	6	3
214	не имеет	6	3
215	в своих	4	3
216	чтобы быть	2	3
217	из которых	2	3
218	и она	2	3
219	на язык	3	3
220	не о	2	2
221	абстрактный момент	2	2
222	чтобы не	2	2
223	тем самым	4	2
224	ее и	6	2
225	тому что	2	2
226	бытия в	5	2
227	как действительно	2	2
228	для нее	9	2
229	не как	4	2
230	в это	2	2
231	не я	3	2
232	едва ли	2	2
233	факта и	2	2
234	себе как	2	2
235	есть момент	3	2
236	в виду	3	2
237	но эта	6	2
238	это только	2	2
239	но я	2	2
240	должен сказать	2	2
241	смысл в	3	2
242	быть в	4	2
243	бытие не	4	2
244	совсем не	2	2
245	это уже	2	2
246	себя не	3	2
247	гораздо более	2	2
248	в бытии	26	2
249	не из	2	2
250	чего не	2	2
251	и та	3	2
252	и совершенно	3	2
253	знать что	2	2
254	и этот	3	2
255	меня не	4	2
256	и должна	3	2
257	я уже	2	2
258	что эта	2	2
259	здесь не	3	2
260	сознания и	3	2
261	его как	5	2
262	к этому	2	2
263	это было	2	2
264	знает и	2	2
265	но лишь	7	2
266	но ведь	5	2
267	ибо это	2	2
268	чем не	4	2
269	было и	2	2
270	себе и	3	2
271	жизнь и	2	2
272	лишь как	3	2
273	есть лишь	5	2
274	где она	2	2
275	которую я	2	2
276	именно в	5	2
277	слова в	2	2
278	другое дело	2	2
279	но для	3	2
280	к чему	3	2
281	он и	2	2
282	для нас	4	2
283	это можно	2	2
284	и на	3	2
285	она могла	2	2
286	ближе к	3	2
287	есть его	2	2
288	раз и	2	2
289	и того	2	2
290	из самого	2	2
291	только как	4	2
292	конечно не	7	2
293	и делает	3	2
294	себя или	2	2
295	во всем	7	2
296	один и	3	2
297	этом смысле	3	2
298	с его	2	2
299	основе своей	2	2
300	на основе	7	2
