N	2gram	Berdyaev_V	KFilosof
1	в его	4	42
2	в нем	4	32
3	и не	20	28
4	и в	16	28
5	в котором	4	24
6	не есть	6	22
7	только в	2	18
8	а не	7	17
9	в этом	4	15
10	не в	3	13
11	для него	2	13
12	но не	2	12
13	и это	2	12
14	ни в	3	12
15	в своей	3	11
16	во всех	3	11
17	все эти	3	11
18	это не	2	10
19	и для	3	10
20	все это	5	10
21	и есть	4	10
22	но и	5	9
23	как бы	5	9
24	и все	4	9
25	не было	3	8
26	лишь в	3	8
27	в мире	5	8
28	жизни и	3	8
29	в себя	2	8
30	то что	9	7
31	уже не	2	7
32	конечно не	2	7
33	что и	3	7
34	ее и	2	6
35	должно быть	3	6
36	мира в	2	6
37	в том	3	6
38	не имеет	3	6
39	но это	3	6
40	и я	4	6
41	никогда не	3	5
42	не только	2	5
43	хотя бы	3	5
44	еще не	8	5
45	а в	2	5
46	но в	3	5
47	как и	4	5
48	что я	3	5
49	от своей	2	5
50	с ним	2	5
51	том что	2	4
52	что в	3	4
53	ценности и	2	4
54	прежде всего	2	4
55	в чем	3	4
56	для нас	2	4
57	должна быть	3	4
58	между тем	2	4
59	от него	2	3
60	человека и	6	3
61	этого мира	3	3
62	когда я	2	3
63	тем что	2	3
64	людей и	2	3
65	к чему	3	3
66	нет и	2	3
67	в ней	4	3
68	могут быть	2	3
69	во мне	4	3
70	что не	4	3
71	того что	5	3
72	мы не	2	3
73	тот же	3	3
74	бы и	3	3
75	и то	2	2
76	и мы	3	2
77	и потому	7	2
78	его к	2	2
79	говорить о	4	2
80	а с	2	2
81	что он	4	2
82	и за	2	2
83	так и	4	2
84	его и	2	2
85	что есть	5	2
86	в жизни	3	2
87	с тем	2	2
88	от этого	3	2
89	тому что	3	2
90	своей истории	2	2
91	во главе	2	2
92	оно не	3	2
93	если не	3	2
94	один из	2	2
95	потому что	4	2
96	не будет	2	2
97	того чтобы	2	2
98	с его	3	2
