N	3gram	Vygotskiy_	DiskursI
1	в том что	30	28
2	в отличие от	3	26
3	по отношению к	2	17
4	с одной стороны	15	14
5	не может быть	4	12
6	в данном случае	3	12
7	той или иной	2	10
8	о том что	15	9
9	в этом отношении	3	8
10	состоит в том	2	8
11	с точки зрения	5	6
12	в конечном счете	2	6
13	то же самое	8	5
14	и как бы	4	5
15	не только в	5	5
16	с другой стороны	8	5
17	и может быть	2	5
18	дело в том	2	5
19	а с другой	5	4
20	одного и того	2	4
21	можно сказать что	3	4
22	в этом случае	2	4
23	и того же	2	4
24	одно и то	3	3
25	и то же	4	3
26	и в частности	2	3
27	том что в	2	3
28	сами по себе	2	2
29	и той же	4	2
30	все то что	6	2
31	потому что в	4	2
32	и тем же	3	2
33	заключает в себе	6	2
34	с самого начала	5	2
35	и в том	2	2
36	в том и	3	2
37	одной и той	4	2
38	одним и тем	3	2
39	по себе не	2	2
40	обратить внимание на	2	2
41	ни одна из	2	2
42	и то что	4	2
43	в том чтобы	6	2
