N	3gram	Losev_Prob	Morfolog
1	не может быть	2	9
2	в связи с	11	9
3	по отношению к	2	7
4	с точки зрения	13	6
5	тем не менее	8	6
6	то перед нами	2	5
7	а также и	3	5
8	с другой стороны	7	5
9	на самом деле	2	4
10	но все же	2	4
11	в том что	13	4
12	о том что	14	3
13	бы то ни	4	3
14	то время как	4	3
15	в настоящее время	7	3
16	в то время	4	3
17	для того чтобы	3	3
18	на то что	2	3
19	во всяком случае	6	2
20	то что в	2	2
21	то ни было	2	2
22	не что иное	3	2
23	в данном случае	5	2
24	что иное как	3	2
25	мы не будем	3	2
26	в этом отношении	4	2
27	это и не	2	2
28	точно так же	4	2
29	хотя и не	3	2
30	можно было бы	2	2
31	с одной стороны	5	2
