N	2gram	Voloshinov	OGranits
1	и в	16	13
2	и его	8	12
3	прежде всего	9	9
4	и не	4	8
5	не может	8	8
6	может быть	17	8
7	в его	4	7
8	и пр	12	7
9	и их	4	7
10	точки зрения	8	7
11	и т.п	2	7
12	не только	7	6
13	как бы	5	6
14	таким образом	9	6
15	только в	4	6
16	то что	3	6
17	с точки	6	5
18	но ведь	2	5
19	и наконец	4	5
20	хотя бы	4	5
21	мы можем	9	4
22	но в	4	4
23	только и	2	4
24	то же	2	4
25	но мы	4	4
26	в своей	2	4
27	все это	4	4
28	было бы	2	4
29	мы не	2	4
30	никогда не	2	3
31	и для	2	3
32	и все	4	3
33	похожим на	2	3
34	с этим	2	3
35	как и	2	3
36	в пределах	2	3
37	говорить о	2	3
38	так как	4	3
39	что в	3	3
40	самом деле	6	3
41	за пределы	2	3
42	так и	4	3
43	в одном	3	3
44	но и	4	3
45	в самом	2	2
46	могут быть	3	2
47	может иметь	2	2
48	мы видим	2	2
49	в этом	9	2
50	в них	2	2
51	представлений и	3	2
52	кажется что	2	2
53	в том	3	2
54	и др	3	2
55	ее в	2	2
56	конечно мы	2	2
57	а в	3	2
58	том что	3	2
59	и к	6	2
60	с историей	2	2
61	в общем	3	2
62	не менее	2	2
63	с ними	4	2
64	все эти	5	2
65	в области	3	2
66	связанные с	2	2
67	так же	2	2
68	мы уже	2	2
69	те же	3	2
70	нуждается в	5	2
71	с этой	2	2
72	и может	4	2
73	в нем	4	2
74	не на	2	2
75	при этом	6	2
76	сознания и	2	2
77	и ее	4	2
78	между собою	2	2
79	во всей	2	2
80	на две	3	2
81	и этот	2	2
82	в чем	5	2
83	связанных с	2	2
84	на язык	3	2
85	самого начала	4	2
86	в этот	2	2
87	с самого	4	2
88	учение о	3	2
89	с помощью	2	2
90	для него	6	2
