N	3gram	Trubetskoy	Freidism
1	с точки зрения	8	15
2	не может быть	4	14
3	по отношению к	11	11
4	в самом деле	5	10
5	в том что	16	9
6	во всяком случае	2	8
7	в то же	2	6
8	в высшей степени	2	6
9	мы знаем что	7	6
10	может быть и	4	6
11	то же время	2	6
12	тем не менее	4	4
13	в данном случае	3	4
14	на самом деле	7	4
15	в свою очередь	2	4
16	бы то ни	3	3
17	о том что	4	3
18	для того чтобы	7	3
19	только то что	2	3
20	до сих пор	15	3
21	что же касается	2	3
22	то ни было	3	2
23	но вместе с	2	2
24	а с другой	2	2
25	том что он	2	2
26	а следовательно и	2	2
27	таким образом в	3	2
28	заключается в том	3	2
29	в конце концов	4	2
30	с одной стороны	2	2
31	и может быть	2	2
