N	2gram	Berdyaev_V	TeoriaLi
1	в мире	5	26
2	не только	2	24
3	и в	16	24
4	в том	3	20
5	и не	20	17
6	а в	2	15
7	но и	5	14
8	так и	4	14
9	а не	7	14
10	но не	2	13
11	в этом	4	12
12	но в	3	12
13	в его	4	12
14	том что	2	11
15	лишь в	3	10
16	что в	3	10
17	не в	3	9
18	только в	2	9
19	как бы	5	8
20	в своей	3	8
21	в нем	4	7
22	еще не	8	6
23	то что	9	6
24	как и	4	6
25	уже не	2	6
26	с его	3	6
27	ни в	3	5
28	для него	2	5
29	между тем	2	5
30	могут быть	2	5
31	того чтобы	2	5
32	того что	5	5
33	в себя	2	5
34	никогда не	3	4
35	это не	2	4
36	в форме	2	4
37	в этих	3	4
38	что он	4	4
39	по пути	5	4
40	к тому	3	4
41	личности и	3	4
42	и что	3	4
43	говорить о	4	4
44	и сам	2	4
45	хотя и	5	4
46	и то	2	3
47	и потому	7	3
48	во всех	3	3
49	и для	3	3
50	мира в	2	3
51	а с	2	3
52	не с	2	3
53	в жизни	3	3
54	их в	3	3
55	потому что	4	3
56	прежде всего	2	3
57	не будет	2	3
58	все эти	3	3
59	вслед за	2	3
60	не могли	2	2
61	не могут	2	2
62	человека и	6	2
63	в конце	3	2
64	превращается в	3	2
65	от свободы	2	2
66	в чем	3	2
67	к нам	2	2
68	тот кто	2	2
69	и это	2	2
70	ее в	2	2
71	тому что	3	2
72	оно не	3	2
73	на себя	5	2
74	значения и	2	2
75	во мне	4	2
76	к чему	3	2
77	один из	2	2
78	в них	3	2
79	что и	3	2
80	ведет по	2	2
81	все это	5	2
82	что они	7	2
