N	2gram	Berdyaev_O	RusskieA
1	и в	19	79
2	в том	5	64
3	том что	2	59
4	что в	4	57
5	т е	4	54
6	не только	11	41
7	так как	2	34
8	в этом	12	33
9	как бы	3	31
10	но и	13	31
11	в других	2	30
12	как и	6	28
13	может быть	11	28
14	и на	2	28
15	в этот	2	26
16	о том	3	23
17	это не	3	20
18	а в	5	20
19	все это	6	18
20	с тем	2	17
21	потому что	9	17
22	то что	5	17
23	и не	13	14
24	и с	2	14
25	так что	2	13
26	к этому	2	13
27	не может	4	13
28	еще не	3	13
29	тем что	2	12
30	не имеет	2	11
31	его в	2	10
32	так и	2	10
33	все же	2	10
34	что и	2	10
35	но в	2	9
36	и все	10	9
37	что они	2	9
38	того что	3	8
39	в россии	5	8
40	одно из	2	8
41	того чтобы	4	8
42	не все	2	8
43	ее в	2	8
44	для того	3	8
45	в этих	3	8
46	в своем	2	7
47	ничего не	2	7
48	не в	11	7
49	к нему	3	7
50	было бы	3	7
51	до конца	7	7
52	а не	11	7
53	в этой	5	6
54	в нем	10	6
55	все эти	4	6
56	чем в	2	6
57	и о	2	6
58	должен был	2	6
59	на земле	4	6
60	вопрос о	10	5
61	и потому	2	5
62	что он	3	5
63	прежде всего	9	5
64	не было	9	5
65	в его	7	5
66	и для	2	5
67	и к	2	5
68	с ним	3	5
69	и ее	3	4
70	и там	2	4
71	могут быть	3	4
72	и от	3	4
73	к ней	2	4
74	природы и	2	4
75	и из	2	4
76	что у	2	4
77	их не	2	4
78	что для	2	4
79	в своих	3	4
80	уже в	2	4
81	но он	7	4
82	никогда не	9	3
83	за все	2	3
84	сразу же	2	3
85	что все	2	3
86	с которой	2	3
87	совсем не	2	3
88	в ее	2	3
89	в своей	2	3
90	он был	8	3
91	хотя и	2	3
92	и то	2	3
93	человека а	2	3
94	в которой	2	3
95	жизни в	2	3
96	русского народа	2	3
97	все что	3	3
98	в русской	3	3
99	когда он	3	3
100	и этим	2	3
101	и его	4	3
102	в себе	3	2
103	от него	7	2
104	отношение к	5	2
105	же можно	2	2
106	подойти к	2	2
107	к этой	2	2
108	для него	5	2
109	с его	4	2
110	сказать что	2	2
111	он не	7	2
112	и он	8	2
113	должно быть	2	2
114	россии в	2	2
115	что есть	2	2
116	на западе	2	2
117	погружается в	2	2
118	ни с	7	2
119	из всего	2	2
120	по себе	2	2
121	в человеческом	2	2
122	у него	22	2
123	только одно	3	2
124	о которой	2	2
125	все в	4	2
