N	3gram	Propp_Isto	VeschiIm
1	и т д	35	38
2	не может быть	8	24
3	то ни было	2	12
4	не что иное	3	12
5	бы то ни	2	12
6	что иное как	3	12
7	тем не менее	7	11
8	т д и	2	11
9	в том что	6	9
10	есть не что	2	8
11	на то что	5	7
12	подобно тому как	3	5
13	не только в	5	5
14	и тем не	2	5
15	более или менее	5	4
16	то время как	3	4
17	о том как	2	4
18	о том что	5	4
19	в то время	3	4
20	дело в том	3	4
21	само по себе	2	4
22	и что они	3	3
23	мы не можем	3	3
24	можно было бы	5	3
25	вместе с тем	7	3
26	с одной стороны	7	3
27	с другой стороны	7	3
28	но если это	2	3
29	все же не	2	3
30	мы видели что	3	3
31	то ясно что	2	2
32	но все же	7	2
33	руки и ноги	2	2
34	это так то	2	2
35	в связи с	5	2
36	мы видим что	12	2
37	так же как	6	2
38	вопрос о том	2	2
39	друг с другом	3	2
40	что мы имеем	3	2
41	если это так	2	2
