N	2gram	Berdyaev_O	StatiiOP
1	и в	19	103
2	в том	5	89
3	том что	2	77
4	в этом	12	76
5	что в	4	74
6	не только	11	60
7	о том	3	47
8	но и	13	46
9	то что	5	44
10	что он	3	42
11	в его	7	42
12	и не	13	41
13	может быть	11	38
14	т е	4	33
15	было бы	3	32
16	в этой	5	31
17	все это	6	29
18	тем что	2	29
19	а в	5	27
20	а не	11	27
21	но в	2	26
22	так и	2	25
23	и его	4	24
24	все же	2	23
25	не в	11	23
26	так что	2	23
27	потому что	9	23
28	того что	3	22
29	прежде всего	9	22
30	для того	3	22
31	в которой	2	22
32	того чтобы	4	21
33	это не	3	20
34	в своей	2	19
35	не может	4	18
36	он не	7	18
37	в россии	5	17
38	в самом	5	17
39	как бы	3	17
40	в русской	3	17
41	сказать что	2	16
42	в этих	3	16
43	с тем	2	15
44	как и	6	15
45	для него	5	15
46	и на	2	15
47	у него	22	15
48	в своем	2	13
49	в нем	10	13
50	что они	2	12
51	так как	2	12
52	хотя бы	3	12
53	что у	2	12
54	в своих	3	12
55	никогда не	9	11
56	вопрос о	10	11
57	и с	2	11
58	в другом	2	11
59	все эти	4	11
60	это было	3	11
61	не было	9	11
62	ничего не	2	10
63	что и	2	10
64	в истории	2	10
65	но он	7	10
66	что же	2	9
67	он был	8	9
68	и для	2	9
69	и к	2	9
70	до конца	7	8
71	могут быть	3	8
72	отношение к	5	8
73	к этому	2	8
74	должен был	2	8
75	и о	2	8
76	не имеет	2	8
77	уже в	2	7
78	и очень	2	7
79	что все	2	7
80	в ее	2	7
81	не все	2	7
82	и то	2	7
83	лишь в	7	7
84	еще не	3	7
85	что для	2	7
86	по себе	2	7
87	в себе	3	6
88	его не	2	6
89	к нему	3	6
90	и все	10	6
91	с его	4	6
92	одно из	2	6
93	его в	2	5
94	и потому	2	5
95	что не	4	5
96	можно ли	2	5
97	в уста	2	5
98	никто не	3	5
99	хотя и	2	5
100	которую он	2	5
101	к ней	2	5
102	ни с	7	5
103	ее в	2	5
104	в творчестве	5	5
105	о которой	2	5
106	не могут	3	4
107	же можно	2	4
108	нужно искать	5	4
109	всего в	2	4
110	не могли	2	4
111	и он	8	4
112	же это	2	4
113	все что	3	4
114	ни у	2	4
115	чем в	2	4
116	от него	7	3
117	в других	2	3
118	это за	3	3
119	как к	2	3
120	к этой	2	3
121	не очень	2	3
122	даже и	2	3
123	совсем не	2	3
124	и ее	3	3
125	любовь к	2	3
126	россии в	2	3
127	русского народа	2	3
128	когда он	3	3
129	различие между	3	2
130	было для	2	2
131	ведь это	2	2
132	и ни	2	2
133	и этим	2	2
134	и от	3	2
135	потребность в	2	2
136	ума и	2	2
137	русского человека	5	2
138	мысль о	2	2
139	и вот	3	2
140	жизни в	2	2
141	только одно	3	2
142	и из	2	2
143	что есть	2	2
144	него не	2	2
145	сразу же	2	2
146	своей жизни	2	2
147	искать не	2	2
148	те которые	2	2
149	все в	4	2
