N	2gram	Savitsky_E	Marksizm
1	точки зрения	23	69
2	может быть	6	64
3	и в	37	63
4	и не	14	55
5	как бы	6	53
6	не может	9	47
7	с точки	17	46
8	в этом	12	39
9	таким образом	2	38
10	в процессе	4	33
11	как мы	5	32
12	в пределах	25	31
13	не только	18	29
14	то же	15	28
15	но и	14	27
16	прежде всего	9	24
17	как и	7	24
18	в самом	4	24
19	так и	10	23
20	только в	9	23
21	в том	11	22
22	то что	6	22
23	а не	2	22
24	том что	6	19
25	не в	5	19
26	в его	2	19
27	если бы	2	19
28	но в	14	18
29	в ее	8	18
30	и для	3	18
31	вовсе не	6	18
32	в то	16	16
33	и как	2	16
34	ни было	4	16
35	во всех	6	15
36	отнюдь не	9	15
37	же время	14	15
38	в данном	3	14
39	хотя бы	15	14
40	в смысле	9	14
41	так же	9	13
42	мы не	4	13
43	того чтобы	6	13
44	было бы	8	13
45	в своей	8	13
46	не является	3	13
47	то ни	4	13
48	в направлении	4	13
49	что в	21	13
50	в результате	3	12
51	а в	2	12
52	того же	3	12
53	бы то	4	12
54	для того	6	12
55	он не	2	12
56	между тем	8	12
57	как в	3	11
58	и все	2	11
59	к нему	2	11
60	и на	6	11
61	в ней	4	11
62	и от	3	11
63	так как	7	11
64	и того	2	11
65	и что	2	11
66	никогда не	3	10
67	и потому	5	10
68	во всяком	3	10
69	сказать что	4	10
70	в своем	14	10
71	с другой	7	10
72	именно в	4	10
73	в таком	3	10
74	в большинстве	2	10
75	в себе	9	9
76	мы видели	3	9
77	одной из	5	9
78	к тому	8	9
79	большинстве случаев	3	9
80	в истории	2	9
81	что это	2	9
82	и эта	2	9
83	не имеет	4	9
84	отношении к	15	9
85	и более	2	9
86	точка зрения	2	9
87	в каком	4	8
88	в отношении	32	8
89	или иной	4	8
90	в их	11	8
91	с этим	2	8
92	не будет	3	8
93	что и	3	8
94	другой стороны	2	8
95	и даже	6	8
96	мы можем	3	8
97	в данной	3	8
98	на то	6	8
99	в свою	3	8
100	и с	2	8
101	столь же	5	8
102	свою очередь	2	7
103	того что	7	7
104	по себе	4	7
105	место в	3	7
106	могут быть	2	7
107	там где	3	7
108	в качестве	14	7
109	в этой	2	7
110	бы в	2	7
111	в этих	2	7
112	далеко не	2	7
113	о том	3	7
114	в котором	2	7
115	он сам	2	7
116	на основе	2	7
117	не есть	2	6
118	вопрос о	4	6
119	для понимания	2	6
120	мы должны	2	6
121	в идеологическом	2	6
122	то есть	6	6
123	одной стороны	8	6
124	что же	2	6
125	в какой	2	6
126	должна быть	2	6
127	этот процесс	2	6
128	с другими	2	6
129	как оно	2	6
130	же в	2	6
131	с одной	8	6
132	между ними	2	6
133	этот вопрос	2	6
134	всяком случае	3	6
135	в той	5	6
136	не к	2	6
137	этом отношении	3	5
138	как же	2	5
139	но как	2	5
140	и тем	3	5
141	связано с	3	5
142	то в	4	5
143	от этого	5	5
144	или в	2	5
145	дело идет	2	5
146	той или	4	5
147	хотя и	2	5
148	тем более	4	5
149	ее в	3	5
150	по преимуществу	2	5
151	жизни в	3	5
152	она не	2	5
153	но не	5	5
154	еще более	2	5
155	на язык	2	5
