N	3gram	Losev_Dial	Komedia
1	в том что	12	29
2	к тому же	2	21
3	то же время	3	16
4	в то же	3	16
5	о том что	6	13
6	в самом деле	6	13
7	в то время	6	11
8	то время как	6	9
9	с одной стороны	3	9
10	с другой стороны	3	8
11	бы то ни	2	7
12	во всяком случае	3	7
13	так или иначе	2	7
14	говоря уже о	6	6
15	в связи с	3	6
16	с точки зрения	25	6
17	не говоря уже	6	6
18	и т д	38	5
19	в этом отношении	2	5
20	о том как	2	5
21	тем не менее	10	5
22	в силу этого	3	4
23	т е в	4	4
24	и с этой	3	4
25	к тому что	2	4
26	ни в чем	2	3
27	в чем же	2	3
28	хотя и не	2	3
29	на то что	3	3
30	равно как и	2	3
31	подобно тому как	5	2
32	на первый план	4	2
33	в нем не	2	2
34	в зависимости от	3	2
35	точно так же	3	2
36	так же как	2	2
37	одних и тех	2	2
38	и тех же	2	2
39	с тех пор	2	2
40	этой точки зрения	4	2
41	как и в	3	2
42	с этой точки	4	2
43	и в то	2	2
44	и даже не	2	2
