N	2gram	Bakhtin_fo	Vvedenie
1	и т	21	45
2	т д	3	39
3	в том	16	38
4	в этом	41	35
5	и в	84	35
6	том что	7	30
7	может быть	18	30
8	не только	16	26
9	для того	12	23
10	того чтобы	11	22
11	таким образом	14	21
12	также и	6	20
13	не может	8	19
14	то что	13	19
15	потому что	11	18
16	о том	4	16
17	только в	12	16
18	так как	12	15
19	и не	19	13
20	что в	9	13
21	в самом	9	13
22	в нем	28	13
23	в их	9	12
24	того что	5	12
25	точки зрения	14	12
26	в его	19	12
27	как на	2	12
28	в данном	4	11
29	то же	18	11
30	по себе	3	11
31	в ее	6	11
32	как мы	19	11
33	ясно что	2	11
34	вопрос о	2	10
35	не в	10	10
36	прежде всего	28	10
37	но в	16	10
38	в той	5	10
39	из этих	5	9
40	и как	12	9
41	все же	12	9
42	но не	9	9
43	в истории	6	9
44	это не	8	8
45	с другой	4	8
46	а только	2	8
47	именно в	5	8
48	широком смысле	3	8
49	в качестве	6	8
50	в широком	3	7
51	и то	5	7
52	самом деле	2	7
53	сих пор	4	7
54	как и	15	7
55	как бы	11	7
56	смысле слова	4	7
57	но и	14	7
58	в разных	6	7
59	было бы	2	7
60	до сих	4	7
61	сказать что	4	6
62	его в	8	6
63	не могут	4	6
64	хотя бы	2	6
65	об этом	3	6
66	и даже	5	6
67	тем что	4	6
68	как он	4	6
69	с тем	5	6
70	и это	5	6
71	а в	6	6
72	уже не	5	6
73	в которых	4	6
74	могут быть	7	6
75	в то	13	6
76	один из	5	6
77	и его	26	6
78	все это	10	6
79	же время	13	6
80	вовсе не	20	6
81	вместе с	9	6
82	данном случае	2	5
83	дело в	3	5
84	с их	2	5
85	есть и	4	5
86	и т.д	2	5
87	в виду	5	5
88	а как	3	5
89	связь между	2	5
90	с этой	3	5
91	что он	2	5
92	так что	4	5
93	т п	18	5
94	в течение	2	5
95	что не	3	5
96	по своему	3	5
97	одно из	3	5
98	как уже	3	5
99	от этого	4	5
100	как это	2	5
101	на почве	2	5
102	в различных	2	5
103	есть не	4	5
104	в них	11	5
105	уже в	5	5
106	в целом	2	5
107	внимание на	2	5
108	что и	5	5
109	а не	7	5
