N	3gram	Propp_Isto	KulturaY
1	и т д	36	42
2	для того чтобы	3	38
3	в том что	4	33
4	тем не менее	6	19
5	с другой стороны	10	17
6	до сих пор	7	14
7	в том чтобы	2	14
8	по отношению к	2	13
9	в связи с	6	12
10	не может быть	6	11
11	о том что	5	10
12	вместе с тем	7	9
13	не в том	2	8
14	не только в	2	8
15	в этом случае	13	8
16	после того как	4	7
17	с одной стороны	7	7
18	и тем не	2	7
19	только тогда когда	2	6
20	этой точки зрения	2	6
21	на этот вопрос	2	5
22	но все же	6	5
23	т е в	6	5
24	потому что он	5	5
25	так и в	2	5
26	в данном случае	2	5
27	с этой точки	2	5
28	как мы видели	2	5
29	не потому что	2	5
30	точно так же	3	4
31	т е на	2	4
32	так же как	10	4
33	на то что	3	4
34	то же в	2	4
35	в таких случаях	2	3
36	по мере того	3	3
37	в то время	3	3
38	о том как	4	3
39	мере того как	3	3
40	что и в	3	3
41	и вместе с	3	3
42	в том смысле	2	3
43	мы имеем в	2	2
44	и то же	2	2
45	поставить вопрос о	2	2
46	мы знаем что	8	2
47	таким образом в	2	2
48	мы не знаем	2	2
49	так как он	2	2
50	в том числе	3	2
51	и в особенности	2	2
52	это еще не	2	2
53	тем что он	3	2
