N	2gram	Medvedev_S	TeoriaLi
1	не только	3	24
2	и в	3	24
3	в частности	2	23
4	может быть	2	22
5	в том	5	20
6	но и	2	14
7	в этом	5	12
8	то же	2	12
9	в его	3	12
10	том что	2	11
11	по отношению	2	10
12	отношению к	2	10
13	что в	2	10
14	не в	3	9
15	только в	2	9
16	как бы	2	8
17	еще не	2	6
18	то что	2	6
19	далеко не	2	4
20	и что	2	4
21	или даже	2	4
22	о литературе	3	3
23	к которому	2	3
24	таким образом	2	3
25	тем более	2	2
26	дело не	2	2
27	за пределы	2	2
28	в конце	2	2
29	это и	2	2
30	истории литературы	10	2
31	все это	7	2
32	как будто	2	2
