N	2gram	Bakhtin_Pr	Istorich
1	и в	38	181
2	и т	14	160
3	может быть	26	115
4	не только	9	114
5	что он	2	111
6	мы имеем	2	102
7	что в	7	90
8	но и	9	85
9	в этом	15	81
10	то что	8	73
11	таким образом	10	72
12	и не	42	67
13	все же	6	65
14	в этих	2	64
15	еще не	7	63
16	не может	27	61
17	то же	5	56
18	никогда не	5	56
19	в том	8	53
20	том что	3	53
21	с другой	7	52
22	а в	6	52
23	что и	2	51
24	и что	2	51
25	и здесь	2	51
26	о том	4	48
27	а не	5	48
28	связь с	3	47
29	его в	9	47
30	не в	7	47
31	другой стороны	4	46
32	мы должны	2	44
33	но в	4	44
34	и пр	2	44
35	это не	5	43
36	и его	16	43
37	в нем	15	42
38	только в	13	42
39	как в	4	42
40	или в	2	39
41	в его	43	38
42	тем что	2	38
43	и на	3	38
44	так и	5	37
45	он не	3	37
46	как и	7	37
47	мы можем	6	36
48	мы увидим	3	36
49	здесь мы	2	35
50	все эти	5	35
51	не всегда	6	34
52	что это	2	34
53	но не	12	34
54	связи с	2	34
55	там где	6	33
56	ничего не	6	31
57	прежде всего	13	31
58	с одной	3	30
59	к нему	10	30
60	как мы	7	29
61	одной стороны	3	29
62	но это	3	29
63	например в	3	28
64	и другие	2	28
65	и с	17	28
66	того что	2	27
67	могут быть	5	27
68	мы здесь	4	26
69	в ней	4	26
70	как это	2	26
71	и др	8	26
72	на него	3	26
73	в дальнейшем	3	25
74	и он	2	25
75	было бы	8	24
76	если бы	3	24
77	в виде	2	24
78	к этому	2	24
79	не менее	4	24
80	не будем	3	23
81	все это	3	23
82	тем не	3	23
83	в частности	2	23
84	и это	3	23
85	как бы	22	23
86	при этом	5	22
87	с ним	5	22
88	в некоторых	2	22
89	сказать что	4	21
90	в другом	2	21
91	они не	3	21
92	здесь не	4	21
93	в связи	2	21
94	другими словами	2	20
95	она не	2	20
96	одна из	2	20
97	в других	4	20
98	и как	8	19
99	в тех	3	19
100	на то	2	19
101	не все	2	18
102	в данном	4	18
103	вовсе не	2	18
104	в то	4	18
105	по существу	2	17
106	и только	4	17
107	и этим	6	17
108	том как	2	17
109	в них	5	17
110	не вполне	2	16
111	и все	3	16
112	в котором	2	16
113	во всех	11	16
114	данном случае	4	15
115	в целом	3	15
116	в своей	7	15
117	в особенности	2	15
118	в пределах	6	15
119	и даже	3	15
120	и тем	3	15
121	от него	3	14
122	отношение к	10	14
123	у нас	2	14
124	должна быть	4	14
125	в него	2	14
126	можно было	4	14
127	отношению к	19	14
128	из которых	2	14
129	и есть	2	14
130	и ее	2	14
131	одной из	3	14
132	по отношению	21	14
133	и наконец	6	14
134	но они	4	14
135	к своему	2	13
136	и для	11	13
137	все что	3	13
138	в таких	2	13
139	и от	3	13
140	его не	2	13
141	на этом	2	13
142	в своем	5	13
143	и у	2	13
144	не имеет	9	13
145	в себе	4	13
146	с ними	4	13
147	в форме	4	13
148	кроме того	3	12
149	во всем	2	12
150	в их	10	12
151	как только	3	12
152	в более	4	12
153	хотя бы	4	12
154	к себе	2	12
155	не знает	3	12
156	что не	4	12
157	и более	2	11
158	относится к	4	11
159	точки зрения	8	11
160	хотя и	3	11
161	человека в	2	11
162	далеко не	5	11
163	ясно что	3	11
164	к которому	4	11
165	дает нам	2	11
166	я не	2	11
167	должны быть	4	11
168	в ее	4	10
169	он может	2	10
170	что эта	2	10
171	но как	2	10
172	есть только	2	10
173	на основе	6	10
174	и других	2	10
175	связаны с	2	10
176	ни в	11	10
177	от них	2	10
178	не было	2	10
179	себя в	2	10
180	не можем	2	10
181	и к	3	10
182	а как	3	9
183	он должен	2	9
184	в истории	2	9
185	в основе	5	9
186	в свою	2	9
187	в себя	2	9
188	не могут	2	9
189	здесь нет	2	9
190	на первый	2	9
191	в чем	2	9
192	но здесь	3	9
193	с его	2	9
194	приводит к	3	9
195	тем самым	4	8
196	не имеют	2	8
197	должен быть	2	8
198	здесь в	2	8
199	вообще не	7	8
200	входит в	8	8
201	не дает	2	8
202	мы будем	3	8
203	в современной	2	8
204	здесь же	2	8
205	большинстве случаев	5	8
206	же самое	2	8
207	но она	2	8
208	и потому	4	8
209	но с	3	8
210	и эта	2	8
211	можно сказать	2	8
212	независимо от	13	8
213	с другими	3	8
214	не с	4	8
215	конечно не	5	8
216	на самом	4	7
217	случае мы	2	7
218	иногда и	3	7
219	и о	5	7
220	а только	2	7
221	того чтобы	2	7
222	этот момент	2	7
223	о которых	2	7
224	есть не	2	7
225	в начале	2	7
226	в какой	2	7
227	между тем	7	7
228	совершенно не	7	7
229	и при	2	7
230	можно только	6	7
231	не есть	6	7
232	в области	11	7
233	самом деле	6	7
234	что оно	2	7
235	на них	3	7
236	в большинстве	5	7
237	в каких	2	7
238	здесь совершенно	3	7
239	для того	2	6
240	а иногда	2	6
241	отличие от	5	6
242	себе не	2	6
243	дело с	6	6
244	между ними	4	6
245	что все	2	6
246	с миром	4	6
247	формы и	5	6
248	его как	3	6
249	не на	5	6
250	или как	3	6
251	также и	3	6
252	и становится	7	6
253	связь и	2	6
254	со всех	2	6
255	только по	4	6
256	оно может	2	6
257	к чему	2	6
258	отношения к	6	6
259	в область	3	5
260	как нечто	3	5
261	только как	6	5
262	в своих	2	5
263	как таковой	2	5
264	или иное	2	5
265	художественного творчества	12	5
266	показать что	2	5
267	материал в	4	5
268	их и	2	5
269	о котором	2	5
270	несмотря на	3	5
271	мы в	3	5
272	она может	3	5
273	в виду	4	5
274	может иметь	5	5
275	в нашей	2	5
276	отличается от	2	5
277	оно не	3	5
278	нем и	2	5
279	получает от	2	5
280	да и	3	5
281	всех сторон	2	5
282	в таком	3	5
283	нами в	2	5
284	в отличие	5	5
285	и во	2	4
286	и вообще	2	4
287	все они	5	4
288	можно сделать	2	4
289	быть только	5	4
290	ни с	2	4
291	столь же	2	4
292	себя и	3	4
293	нами выше	2	4
294	чем в	2	4
295	собственно не	2	4
296	относится и	2	4
297	другой же	2	4
298	особенно в	2	4
299	задачи и	2	4
300	слова в	7	4
301	особенно часто	3	4
302	для нее	8	4
303	и должно	3	4
304	на почве	3	4
305	отнюдь не	19	4
306	с точки	6	4
307	но конечно	4	4
308	войти в	2	4
309	и те	2	4
310	дело в	2	4
311	ни к	2	4
312	и которые	2	4
313	выше в	2	4
314	в самом	7	4
315	где оно	2	3
316	только при	2	3
317	не могли	2	3
318	точка зрения	3	3
319	и весь	2	3
320	связи и	3	3
321	здесь все	2	3
322	же стороны	2	3
323	была бы	2	3
324	бы то	3	3
325	все то	3	3
326	должно быть	5	3
327	которые могут	2	3
328	ни было	3	3
329	вследствие этого	3	3
330	поэтому в	2	3
331	человек в	2	3
332	которую мы	3	3
333	как его	3	3
334	в иных	3	3
335	как к	2	3
336	без всякой	2	3
337	центр тяжести	2	3
338	не его	2	3
339	отметить что	7	3
340	то ни	3	3
341	входят в	3	3
342	но зато	2	3
343	от всех	4	3
344	раз и	2	3
345	и именно	2	3
346	к его	2	3
347	но можно	2	3
348	едва ли	3	3
349	тем как	5	3
350	иных случаях	3	3
351	бы не	2	3
352	имеем дело	3	3
353	всего человека	2	2
354	материал и	2	2
355	в каждом	2	2
356	и конец	2	2
357	будем называть	2	2
358	проникает в	2	2
359	и должна	3	2
360	к материалу	11	2
361	лишь в	2	2
362	как явление	2	2
363	есть выражение	2	2
364	можно говорить	2	2
365	материала и	2	2
366	и другими	3	2
367	работ по	3	2
368	материала в	10	2
369	первый план	2	2
370	в нашем	4	2
371	чтобы стать	4	2
372	с помощью	7	2
373	не путем	2	2
374	со словами	2	2
375	где находится	2	2
376	т п	13	2
377	в работах	2	2
378	помнить что	3	2
379	на ее	3	2
380	себя как	5	2
381	то или	2	2
382	в мире	3	2
383	в познании	2	2
384	к чему-то	2	2
385	в конечном	4	2
386	характерно для	2	2
387	дано в	3	2
388	совпадает с	2	2
389	чтобы его	2	2
390	природу и	3	2
391	перестает быть	4	2
392	его тела	2	2
393	не к	6	2
394	можно и	2	2
395	др в	2	2
396	часто имеет	2	2
397	и прежде	5	2
398	может и	4	2
399	на материал	2	2
400	материала мы	2	2
401	но нельзя	2	2
402	так называемый	2	2
403	этих работ	2	2
404	или точнее	2	2
405	на материале	3	2
406	всех его	4	2
407	форма есть	6	2
408	предмета и	2	2
409	в самой	2	2
410	только там	2	2
411	и должны	2	2
412	не более	2	2
413	не следует	2	2
414	таком положении	2	2
415	которых мы	4	2
416	оно было	2	2
417	не остается	2	2
418	и вся	2	2
419	в форму	2	2
420	того или	2	2
421	не входит	10	2
422	место в	8	2
423	случае не	2	2
424	не нужно	5	2
425	двух миров	2	2
426	к миру	3	2
427	следовательно не	2	2
428	в новый	2	2
429	нет и	3	2
430	говорить о	3	2
431	природы и	3	2
