N	3gram	Voloshinov	EvropaiC
1	в том что	9	16
2	до сих пор	3	15
3	по отношению к	11	11
4	с точки зрения	15	8
5	на самом деле	4	7
6	мы знаем что	6	7
7	для того чтобы	3	7
8	в самом деле	10	5
9	тем не менее	4	4
10	в конце концов	2	4
11	может быть и	6	4
12	о том что	3	4
13	не может быть	14	4
14	то ни было	2	3
15	бы то ни	3	3
16	в данном случае	4	3
17	таким образом в	2	3
18	заключается в том	2	3
19	но вместе с	2	2
20	с одной стороны	2	2
21	во всяком случае	8	2
22	что же касается	3	2
23	то же время	6	2
24	а с другой	2	2
25	в высшей степени	6	2
26	том что он	2	2
27	в то же	6	2
28	а следовательно и	2	2
29	и может быть	2	2
30	только то что	3	2
31	в свою очередь	4	2
